Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Poopsie, D.",CHI,2,19,0,0
"Eat, M.",CHI,1,15,4,1
"Leaver, C.",CHI,1,5,1,0
"Adams, R.",CHI,1,15,0,0
"Lood, B.",CHI,0,0,5,0
"Harp, D.",CHI,0,0,3,0
"Utchers, B.",CHI,0,0,3,0
"Laughter, S.",CHI,0,0,1,0
"Torenson, S.",CHI,0,0,1,0
"Danielsson, A.",CHI,0,0,0,1
"Jones, V.",PHI,1,5,0,0
"Kalilmoku, I.",PHI,1,5,0,0
"McGwire, A.",PHI,1,5,0,0
"Tyler, J.",PHI,0,0,8,1
"Fillmore, M.",PHI,0,0,4,0
"Van Buren, M.",PHI,0,0,4,0
"Hank, F.",PHI,0,0,3,1
"Hayes, R.",PHI,0,0,3,0
"Arthur, C.",PHI,0,0,2,0
"Brannigan, Z.",PHI,0,0,1,0
