,Q,Score Type,Time Remaining,Play,AUS,OCO
1,1,TD,9:55,Slim Shady 5 yd run. (Alex Dasistwirklichseinnachname kick),0,7
2,1,TD,2:06,Slim Shady 3 yd run. (Alex Dasistwirklichseinnachname kick),0,14
4,2,TD,12:07,Dexter Banks II 7 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),0,21
6,3,TD,13:47,Jacoby Clay (R) 1 yd pass from Easton Cole. (Alfredo Crisco kick),7,21
7,3,FG,7:32,34 yd FG by Alex Dasistwirklichseinnachname,7,24
8,3,FG,0:12,20 yd FG by Alex Dasistwirklichseinnachname,7,27
10,4,TD,12:07,Peter Larson 3 yd pass from Easton Cole. (Alfredo Crisco kick),14,27
11,4,TD,10:16,Rod Tidwell 32 yd pass from Easton Cole. (Alfredo Crisco kick),21,27
12,4,TD,8:10,Jacoby Clay (R) 18 yd pass from Easton Cole. (Alfredo Crisco kick),28,27
13,4,TD,5:57,Mako Mendonca 10 yd pass from Easton Cole. (Alfredo Crisco kick),35,27
