,Q,Score Type,Time Remaining,Play,OCO,YKW
1,1,TD,13:10,None Sunnycursed 15 yd pass from Cooter Bigsby. (Neo Donaldson kick),0,7
2,1,TD,10:06,Tommy Helanen 36 yd pass from Cooter Bigsby. (Neo Donaldson kick),0,14
3,1,FG,2:16,26 yd FG by Alex Dasistwirklichseinnachname,3,14
4,1,TD,0:13,Johnny Blaze 16 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),10,14
6,2,FG,11:30,25 yd FG by Neo Donaldson,10,17
7,2,FG,1:43,18 yd FG by Neo Donaldson,10,20
8,2,TD,0:03,Kazimir Oles 53 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),17,20
10,3,FG,5:38,31 yd FG by Alex Dasistwirklichseinnachname,20,20
11,3,TD,1:43,Orien Drake (R) 13 yd pass from Cooter Bigsby. (Neo Donaldson kick),20,27
13,4,FG,6:35,41 yd FG by Neo Donaldson,20,30
14,4,TD,6:16,AJ Lattimer 95 yd kickoff return. (Alex Dasistwirklichseinnachname kick),27,30
