,Q,Score Type,Time Remaining,Play,BAL,YKW
1,1,TD,10:54,Mathias Hanyadi (R) 2 yd run. (Neo Donaldson kick),0,7
2,1,FG,9:07,45 yd FG by ForThe Brand,3,7
3,1,FG,2:46,29 yd FG by ForThe Brand,6,7
5,2,TD,9:06,Tommy Helanen 5 yd pass from Cooter Bigsby. (Neo Donaldson kick),6,14
6,2,TD,2:31,Mathias Hanyadi (R) 3 yd run. (Neo Donaldson kick),6,21
7,2,FG,0:24,25 yd FG by ForThe Brand,9,21
9,3,TD,11:16,None Sunnycursed 16 yd pass from Cooter Bigsby. (Neo Donaldson XP no good),9,27
10,3,TD,8:41,Errol Maddox 24 yd pass from Corvo Havran. (ForThe Brand kick),16,27
11,3,FG,5:32,22 yd FG by ForThe Brand,19,27
12,3,FG,0:13,23 yd FG by Neo Donaldson,19,30
14,4,TD,10:22,Errol Maddox 22 yd pass from Corvo Havran. (2pt conversion good),27,30
15,4,FG,5:48,33 yd FG by Neo Donaldson,27,33
