Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"George, D.",OCO,1,5,4,0,13,24
"Quail, D.",OCO,0,0,7,0,13,24
"Harrison, H.",OCO,0,0,5,0,13,24
"Johns, A.",OCO,0,0,4,0,13,24
"Pak, Y.",OCO,0,0,2,0,13,24
"Phillips, J.",OCO,0,0,2,0,13,24
"Iridian, G.",OCO,0,0,1,0,13,24
"Nakamura, T.",OCO,0,0,0,1,13,24
"Pest, T.",SJS,1,5,7,1,13,24
"Cloudera, Y.",SJS,1,5,0,0,13,24
"Fisher, G.",SJS,1,5,0,0,13,24
"Hood, T.",SJS,1,5,0,0,13,24
"Johnson, R.",SJS,0,0,6,0,13,24
"Bot, B.",SJS,0,0,4,0,13,24
"Lee, B.",SJS,0,0,4,0,13,24
"Cardrissian, R.",SJS,0,0,3,0,13,24
"McDavid, L.",SJS,0,0,2,0,13,24
"Pancake, P.",SJS,0,0,1,1,13,24
