,Q,Score Type,Time Remaining,Play,YKW,PHI
1,1,FG,2:59,29 yd FG by Venus Powers,0,3
3,2,TD,14:45,Mathias Hanyadi 2 yd run. (Dougie Smalls (R) kick),7,3
4,2,TD,10:27,Randy Vuxta 12 yd pass from Brock Phoenix. (Venus Powers kick),7,10
5,2,TD,5:01,Orien Drake 3 yd run. (Dougie Smalls (R) kick),14,10
6,2,TD,1:05,Nacho Varga 19 yd pass from Brock Phoenix. (Venus Powers kick),14,17
8,3,TD,10:59,Sam Torenson 4 yd run. (Venus Powers kick),14,24
9,3,FG,7:01,18 yd FG by Dougie Smalls (R),17,24
11,4,FG,13:41,26 yd FG by Dougie Smalls (R),20,24
12,4,TD,9:03,Mathias Hanyadi 9 yd pass from Cooter Bigsby. (Dougie Smalls (R) kick),27,24
13,4,FG,4:07,40 yd FG by Dougie Smalls (R),30,24
