Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Adams, R.",OCO,8,105,13.1,36,0,10,14
"Crush, C.",OCO,5,110,22,36,2,10,14
"Anoa'i, D.",OCO,4,27,6.8,9,0,10,14
"Blaze, J.",OCO,2,22,11,15,0,10,14
"Sunnycursed, N.",OCO,2,22,11,17,0,10,14
"Zephyrous, S.",OCO,2,8,4,5,0,10,14
"Flash, X.",SJS,5,55,11,26,2,10,14
"Oles, K.",SJS,4,101,25.2,44,0,10,14
"Justice, T.",SJS,4,37,9.2,14,0,10,14
"Canton, J.",SJS,4,17,4.2,5,0,10,14
"Orosz, C.",SJS,2,11,5.5,8,0,10,14
"Brannigan, Z.",SJS,1,7,7,7,0,10,14
"Bot, B.",SJS,1,2,2,2,0,10,14
