,Q,Score Type,Time Remaining,Play,SJS,AZ
1,1,TD,11:54,Shane Weston 9 yd pass from Chris Orosz. (Iyah Blewitt kick),7,0
2,1,TD,8:39,Darren Smallwood 7 yd run. (Iyah Blewitt kick),14,0
4,2,TD,12:45,Charles Arthur Chess 2 yd pass from King Bronko. (Dean Jackson kick),14,7
5,2,TD,12:28,Mayran Jackson 96 yd kickoff return. (Iyah Blewitt kick),21,7
6,2,FG,8:34,47 yd FG by Iyah Blewitt,24,7
7,2,TD,4:38,Charles Arthur Chess 22 yd pass from King Bronko. (Dean Jackson kick),24,14
8,2,FG,0:20,55 yd FG by Iyah Blewitt,27,14
10,3,TD,7:50,Budda Browning 56 yd pass from King Bronko. (Dean Jackson kick),27,21
11,3,TD,4:59,Budda Browning 34 yd pass from King Bronko. (Dean Jackson kick),27,28
12,3,FG,2:40,32 yd FG by Iyah Blewitt,30,28
14,4,TD,14:05,Damian West 5 yd pass from King Bronko. (Dean Jackson kick),30,35
