Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Adams, R.",OCO,1,15,0,0
"Lumburgh, B.",OCO,0,0,4,0
"Bolton, M.",OCO,0,0,3,0
"Nagheenanajar, S.",OCO,0,0,2,0
"Zephyrous, S.",OCO,0,0,2,0
"Waddams, M.",OCO,0,0,0,1
"Riposte, F.",SJS,2,10,0,0
"Bayley, B.",SJS,2,20,0,0
"Tacktheritrix, J.",SJS,1,10,2,0
"Orosz, C.",SJS,1,6,1,0
"Probincrux III, D.",SJS,1,5,1,0
"Staley, T.",SJS,1,5,0,0
"Horne, B.",SJS,1,10,0,0
"Pennington, C.",SJS,1,5,0,0
"McKoutchie, M.",SJS,0,0,5,0
"Jahelpme, H.",SJS,0,0,4,0
"Rucker, F.",SJS,0,0,3,2
