,Q,Score Type,Time Remaining,Play,AZ,COL
1,1,TD,14:11,Devo Cansino 4 yd run. (Peg Leg kick),0,7
2,1,TD,11:20,Trey Willie 6 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),7,7
3,1,TD,7:48,James (R) Bishop 3 yd pass from Micycle McCormick. (Peg Leg kick),7,14
4,1,TD,2:45,Balthazar Crindy 5 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),14,14
5,1,TD,0:00,James (R) Bishop 6 yd pass from Micycle McCormick. (Peg Leg kick),14,21
7,2,TD,4:51,Viggo Squanch 23 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),21,21
8,2,TD,2:40,Arbin (R) Asipi III 1 yd run. (Dean Jackson kick),28,21
9,2,FG,0:11,43 yd FG by Dean Jackson,31,21
11,3,FG,9:35,44 yd FG by Dean Jackson,34,21
12,3,TD,2:09,Howard Miller 26 yd pass from Micycle McCormick. (Peg Leg kick),34,28
14,4,TD,11:58,Darren Morris 56 yd interception return. (Dean Jackson kick),41,28
15,4,FG,7:43,41 yd FG by Peg Leg,41,31
16,4,FG,4:57,32 yd FG by Peg Leg,41,34
17,4,TD,0:38,Slim (R) Shady 4 yd run. (Dean Jackson kick),48,34
