Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Ishigawa, H.",COL,3,48,0,0,5,14
"Sachs, J.",COL,2,20,0,0,5,14
"Squanch, V.",COL,1,10,0,0,5,14
"Tackle, L.",COL,0,0,5,0,5,14
"Tackle, R.",COL,0,0,5,0,5,14
"Centre, S.",COL,0,0,2,0,5,14
"Crindy, B.",COL,0,0,2,0,5,14
"Guard, L.",COL,0,0,2,0,5,14
"Guard, R.",COL,0,0,2,0,5,14
"Cansino, D.",COL,0,0,1,0,5,14
"Grau, M.",COL,0,0,1,0,5,14
"Sackless, S.",NO,1,5,8,1,5,14
"Fyodorovich, V.",NO,1,7,0,0,5,14
"Watyumaidmedu, L.",NO,0,0,7,0,5,14
"Sno, F.",NO,0,0,5,0,5,14
"Belongwithme, H.",NO,0,0,3,0,5,14
"Spais, B.",NO,0,0,2,0,5,14
"Francisco, S.",NO,0,0,1,0,5,14
