,Q,Score Type,Time Remaining,Play,OCO,NO
1,1,TD,10:17,Vladimir Fyodorovich 5 yd pass from Stan Francisco. (Alex Frost kick),0,7
2,1,TD,5:49,Apollo Reed 11 yd pass from Franklin Armstrong (R). (Alex Dasistwirklichseinnachname kick),7,7
4,2,FG,11:21,46 yd FG by Alex Frost,7,10
5,2,FG,6:13,29 yd FG by Alex Dasistwirklichseinnachname,10,10
6,2,FG,1:12,31 yd FG by Alex Frost,10,13
8,3,TD,2:05,Apollo Reed 9 yd run. (Alex Dasistwirklichseinnachname kick),17,13
10,4,TD,10:41,None Sunnycursed 15 yd pass from Franklin Armstrong (R). (Alex Dasistwirklichseinnachname kick),24,13
11,4,TD,6:11,Forrest Gump 7 yd run. (2pt conversion good),24,21
12,4,FG,4:56,45 yd FG by Alex Frost,24,24
13,4,TD,0:38,Johnny Blaze 19 yd pass from Franklin Armstrong (R). (Alex Dasistwirklichseinnachname kick),31,24
