Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Mendoza, C.",AUS,11,0,0,1,0,0,0,0,0,0,0,0,4,24
"Edmond, H.",AUS,7,0,1,0,0,0,0,0,0,0,0,0,4,24
"MacGregor, G.",AUS,5,0,0,0,0,0,0,0,0,0,0,0,4,24
"McGullager, T.",AUS,5,0,0,0,0,0,0,0,0,0,0,0,4,24
"Egghands, T.",AUS,4,0,1,0,0,0,0,1,1,0,0,0,4,24
"Lavelle Jr., D.",AUS,4,0,0,0,0,0,0,0,0,0,0,0,4,24
"Sexjoke, A.",AUS,4,0,0,2,0,0,0,0,0,0,0,0,4,24
"Isbest, C.",AUS,3,1,0,0,0,0,0,0,0,0,0,0,4,24
"McTackle, R.",AUS,3,0,0,0,0,0,0,0,0,0,0,0,4,24
"Claxton, S.",AUS,1,0,1,0,0,0,0,0,0,0,0,0,4,24
"Porter, G.",AUS,1,0,1,1,0,0,0,1,1,0,0,0,4,24
"Jones, K.",AUS,0,0,0,0,0,0,0,0,1,0,0,0,4,24
"Bode, Q.",NO,13,0,0,0,0,0,0,0,0,0,0,0,4,24
"Dissector, U.",NO,11,0,1,1,0,0,0,0,0,0,0,0,4,24
"Hexagon, L.",NO,8,0,0,0,0,0,0,0,0,0,0,0,4,24
"Blaylock, M.",NO,6,0,0,0,0,0,0,0,0,0,0,0,4,24
"Rector, D.",NO,6,0,0,2,0,0,0,0,0,0,0,0,4,24
"Ulysses, B.",NO,6,3,2,0,0,0,0,1,0,0,0,0,4,24
"Witten, A.",NO,6,0,0,0,0,0,0,0,0,0,0,0,4,24
"Andrews, J.",NO,3,0,0,0,0,0,0,0,0,0,0,0,4,24
"Steel, H.",NO,3,1,1,0,0,0,0,0,0,0,0,0,4,24
"Rikiya, M.",NO,2,0,0,0,0,0,0,0,0,0,0,0,4,24
"Tu'inukuafe, B.",NO,2,1,0,0,0,0,0,0,0,0,0,0,4,24
