,Q,Score Type,Time Remaining,Play,NO,SJS
1,1,FG,3:20,20 yd FG by Peg Leg,3,0
3,2,TD,13:08,Darren Smallwood 2 yd run. (Peg Leg kick),10,0
4,2,TD,12:48,D'Pez (R) Poopsie 91 yd kickoff return. (Kyle Corbett kick),10,7
5,2,TD,8:29,Carlito Crush 8 yd pass from Borkus Maximus III. (Peg Leg kick),17,7
6,2,TD,4:11,Xavier (R) Flash 20 yd pass from Mat Akselsen. (Kyle Corbett kick),17,14
7,2,FG,0:13,19 yd FG by Peg Leg,20,14
9,3,TD,6:46,Elijah (R) Lagerfield 3 yd run. (Kyle Corbett kick),20,21
10,3,TD,3:35,Charlie Law 17 yd pass from Borkus Maximus III. (Peg Leg kick),27,21
12,4,FG,14:28,31 yd FG by Peg Leg,30,21
13,4,FG,9:36,33 yd FG by Peg Leg,33,21
