,Q,Score Type,Time Remaining,Play,BAL,SJS
1,1,TD,11:55,Owen Taylor 22 yd run. (Turk Turkleton kick),7,0
2,1,FG,4:16,47 yd FG by Turk Turkleton,10,0
4,2,FG,14:29,45 yd FG by Turk Turkleton,13,0
5,2,FG,10:10,27 yd FG by Turk Turkleton,16,0
6,2,TD,4:07,Budda Browning 8 yd pass from Avon Blocksdale. (Turk Turkleton kick),23,0
8,3,TD,8:40,Antonio Legion 2 yd pass from Brad Pennington. (Kyle Corbett kick),23,7
9,3,TD,7:14,Budda Browning 58 yd pass from Avon Blocksdale. (Turk Turkleton kick),30,7
10,3,TD,1:05,Trey Willie 21 yd pass from Avon Blocksdale. (Turk Turkleton kick),37,7
12,4,TD,8:39,Owen Taylor 1 yd run. (Turk Turkleton kick),44,7
13,4,TD,7:40,Bubba Nuck 9 yd run. (Turk Turkleton kick),51,7
14,4,TD,3:11,Trey Willie 4 yd pass from Avon Blocksdale. (Turk Turkleton XP no good),57,7
