,teamID,Q,time,totTime,down,distance,side,yard,play,gameID,S,homeTeam,awayTeam,teamPoss,dist2goal,awayScore,homeScore
0,7,1,15:00,3600,,,PHI,30,"Harris, S. kicks off.",1879,8,PHI,COL,PHI,70,0,0
1,3,1,15:00,3600,,,COL,28,"Kickoff of 62 yards. Returned by Miller, H. for 20 yards.",1879,8,PHI,COL,COL,72,0,0
2,3,1,14:55,3595,1,10,COL,28,"Rush by Joyce, S. for 3 yds. Tackle by Kamaka, E..",1879,8,PHI,COL,COL,72,0,0
3,3,1,14:33,3573,2,7,COL,31,"Pass by Applehort, R. to Aaron, D. falls incomplete.",1879,8,PHI,COL,COL,69,0,0
4,3,1,14:29,3569,3,7,COL,31,"Pass by Applehort, R. to O'Sullivan, S. was dropped! Incomplete.",1879,8,PHI,COL,COL,69,0,0
5,7,1,14:24,3564,4,7,COL,31,"Punt by McCormick, M. of 42 yards.",1879,8,PHI,COL,COL,69,0,0
6,7,1,14:24,3564,,,,,"Returned by Bush, C. for 14 yards.",1879,8,PHI,COL,PHI,,0,0
7,7,1,14:15,3555,1,10,PHI,41,"Pass by Oles, T., complete to Kroetch, D. for 5 yds. Tackle by Ishigawa, H..",1879,8,PHI,COL,PHI,59,0,0
8,7,1,13:44,3524,2,5,PHI,46,"Rush by Kroetch, D. for 1 yds. Tackle by Ruckus, B..",1879,8,PHI,COL,PHI,54,0,0
9,7,1,13:15,3495,3,4,PHI,47,"Oles, T. SACKED by Haruki Ishigawa - LB for -7 yds.",1879,8,PHI,COL,PHI,53,0,0
10,3,1,12:45,3465,4,11,PHI,40,"Punt by Harris, S. of 39 yards.",1879,8,PHI,COL,PHI,60,0,0
11,3,1,12:45,3465,,,,,"Returned by Bly Jr., A. for 11 yards.",1879,8,PHI,COL,COL,,0,0
12,3,1,12:32,3452,1,10,COL,32,"Applehort, R. SACKED by Eli Kamaka - DT for -6 yds.",1879,8,PHI,COL,COL,68,0,0
13,3,1,12:01,3421,2,16,COL,26,"Pass by Applehort, R. to Aaron, D. falls incomplete.",1879,8,PHI,COL,COL,74,0,0
14,3,1,11:54,3414,3,16,COL,26,"Pass by Applehort, R. to Miller, H. was dropped! Incomplete.",1879,8,PHI,COL,COL,74,0,0
15,7,1,11:47,3407,4,16,COL,26,"Punt by McCormick, M. of 57 yards.",1879,8,PHI,COL,COL,74,0,0
16,7,1,11:47,3407,,,,,"Returned by Bush, C. for 0 yards.",1879,8,PHI,COL,PHI,,0,0
17,7,1,11:37,3397,1,10,PHI,17,"Rush by Kroetch, D. for 8 yds. Tackle by LeFevre, R..",1879,8,PHI,COL,PHI,83,0,0
18,7,1,11:00,3360,2,2,PHI,25,"Rush by Kroetch, D. for 15 yds. Tackle by Danger, D..",1879,8,PHI,COL,PHI,75,0,0
19,7,1,10:22,3322,1,10,PHI,40,"Rush by Bush, C. for 5 yds. Tackle by Danger, D..",1879,8,PHI,COL,PHI,60,0,0
20,7,1,9:54,3294,2,5,PHI,45,"Pass by Oles, T. to DiMirio, P. falls incomplete.",1879,8,PHI,COL,PHI,55,0,0
21,7,1,9:51,3291,3,5,PHI,45,"Pass by Oles, T. to North, F. falls incomplete.",1879,8,PHI,COL,PHI,55,0,0
22,3,1,9:45,3285,4,5,PHI,45,"Punt by Harris, S. of 55 yards. Touchback.",1879,8,PHI,COL,PHI,55,0,0
23,3,1,9:40,3280,1,10,COL,20,"Pass by Applehort, R., complete to Miller, H. for 8 yds. Tackle by Lee, J..",1879,8,PHI,COL,COL,80,0,0
24,3,1,9:02,3242,2,2,COL,28,"Pass by Applehort, R. to Miller, H. falls incomplete.",1879,8,PHI,COL,COL,72,0,0
25,3,1,8:56,3236,3,2,COL,28,"Pass by Applehort, R. to Aaron, D. falls incomplete.",1879,8,PHI,COL,COL,72,0,0
26,7,1,8:49,3229,4,2,COL,28,"Punt by McCormick, M. of 55 yards.",1879,8,PHI,COL,COL,72,0,0
27,7,1,8:49,3229,,,,,"Returned by Bush, C. for 16 yards.",1879,8,PHI,COL,PHI,,0,0
28,7,1,8:39,3219,1,10,PHI,33,"Rush by Kroetch, D. for 4 yds. Tackle by Saint, J..",1879,8,PHI,COL,PHI,67,0,0
29,7,1,8:07,3187,2,6,PHI,37,"Rush by Kroetch, D. for 1 yds. Tackle by Miller, D..",1879,8,PHI,COL,PHI,63,0,0
30,7,1,7:54,3174,3,5,PHI,38,"Pass by Oles, T., complete to Kroetch, D. for 9 yds. Tackle by Tillman, M..",1879,8,PHI,COL,PHI,62,0,0
31,7,1,7:10,3130,1,10,PHI,47,"Pass by Oles, T., complete to North, F. for 5 yds. Tackle by Bly Jr., A..",1879,8,PHI,COL,PHI,53,0,0
32,7,1,6:37,3097,2,5,COL,48,"Pass by Oles, T. to Garden, J. falls incomplete.",1879,8,PHI,COL,PHI,48,0,0
33,7,1,6:32,3092,3,5,COL,48,"Rush by Bush, C. for 7 yds. Tackle by Danger, D..",1879,8,PHI,COL,PHI,48,0,0
34,7,1,5:58,3058,1,10,COL,41,"Pass by Oles, T. to Garden, J. falls incomplete.",1879,8,PHI,COL,PHI,41,0,0
35,7,1,5:55,3055,2,10,COL,41,"Pass by Oles, T., complete to DiMirio, P. for 9 yds. Tackle by Saint, J..",1879,8,PHI,COL,PHI,41,0,0
36,7,1,5:16,3016,3,1,COL,32,"Pass by Oles, T., complete to North, F. for 32 yds.",1879,8,PHI,COL,PHI,32,0,0
37,7,1,4:30,2970,,,,,TOUCHDOWN! (Harris kick good),1879,8,PHI,COL,PHI,,0,7
38,7,1,4:30,2970,,,PHI,30,"Harris, S. kicks off.",1879,8,PHI,COL,PHI,70,0,7
39,3,1,4:30,2970,,,COL,31,"Kickoff of 62 yards. Returned by Bly Jr., A. for 23 yards.",1879,8,PHI,COL,COL,69,0,7
40,3,1,4:25,2965,1,10,COL,31,"Pass by Applehort, R., complete to Wheat, B. for 4 yds. Tackle by Flock, R..",1879,8,PHI,COL,COL,69,0,7
41,3,1,3:53,2933,2,6,COL,35,"Pass by Applehort, R., complete to O'Sullivan, S. for 2 yds. Tackle by Hendrix, M..",1879,8,PHI,COL,COL,65,0,7
