,teamID,Q,time,totTime,down,distance,side,yard,play,gameID,S,W,homeTeam,awayTeam,teamPoss,dist2goal,awayScore,homeScore
0,1,1,15:00,3600,,,BAL,30,"Frost, A. kicks off.",3357,15,1,BAL,COL,BAL,70,0,0
1,3,1,15:00,3600,,,COL,12,"Kickoff of 70 yards. Returned by Bishop, J. for 12 yards.",3357,15,1,BAL,COL,COL,88,0,0
2,3,1,14:58,3598,1,10,COL,12,"Pass by McCormick, M. to Crindy, B. falls incomplete.",3357,15,1,BAL,COL,COL,88,0,0
3,3,1,14:53,3593,2,10,COL,12,"Pass by McCormick, M. to Crindy, B. falls incomplete.",3357,15,1,BAL,COL,COL,88,0,0
4,3,1,14:47,3587,3,10,COL,12,"Pass by McCormick, M. to North, F. falls incomplete.",3357,15,1,BAL,COL,COL,88,0,0
5,1,1,14:42,3582,4,10,COL,12,"Punt by Ramero, E. of 46 yards.",3357,15,1,BAL,COL,COL,88,0,0
6,1,1,14:42,3582,,,,,"Returned by Valentine, V. for 7 yards.",3357,15,1,BAL,COL,BAL,,0,0
7,1,1,14:29,3569,1,10,BAL,48,"Rush by Brown, M. for 7 yds. Tackle by Ludvig, O..",3357,15,1,BAL,COL,BAL,52,0,0
8,1,1,14:00,3540,2,3,COL,44,"Gambino, C. SACKED by Joey Sachs - DE for -6 yds.",3357,15,1,BAL,COL,BAL,44,0,0
9,1,1,13:21,3501,3,9,BAL,49,"Pass by Gambino, C. to Valentine, V. falls incomplete.",3357,15,1,BAL,COL,BAL,51,0,0
10,1,1,13:15,3495,4,9,BAL,49,"Pass by Gambino, C., complete to Valentine, V. for 34 yds. Tackle by Montgomery, B..",3357,15,1,BAL,COL,BAL,51,0,0
11,1,1,12:12,3432,1,10,COL,16,"Rush by Brown, M. for 8 yds. Tackle by Berry, M..",3357,15,1,BAL,COL,BAL,16,0,0
12,1,1,11:53,3413,2,2,COL,8,"Rush by Brown, M. for 5 yds. Tackle by Berry, M..",3357,15,1,BAL,COL,BAL,8,0,0
13,1,1,11:38,3398,1,3,COL,3,"Rush by Brown, M. for 1 yds. Tackle by Crane, F..",3357,15,1,BAL,COL,BAL,3,0,0
14,1,1,11:21,3381,2,2,COL,2,"Pass by Gambino, C., to Nagasawa, Y.. INTERCEPTION by McCoy, C. at the COL - 1 yard line and returned for 11 yards.",3357,15,1,BAL,COL,BAL,2,0,0
15,3,1,10:50,3350,1,10,COL,11,"Rush by Taffy, T. for 1 yds. Tackle by Clark, T..",3357,15,1,BAL,COL,COL,89,0,0
16,3,1,10:30,3330,2,9,COL,12,"Rush by Taffy, T. for 3 yds. Tackle by Mbanefo, K..",3357,15,1,BAL,COL,COL,88,0,0
17,3,1,10:11,3311,3,6,COL,15,"McCormick, M. SACKED by Achilles Hondo - CB for -6 yds.",3357,15,1,BAL,COL,COL,85,0,0
18,1,1,09:42,3282,4,12,COL,9,"Punt by Ramero, E. of 57 yards. No return.",3357,15,1,BAL,COL,COL,91,0,0
19,1,1,09:36,3276,1,10,BAL,33,"Pass by Gambino, C., complete to L'Alto, V. for 21 yds. Tackle by Gabagool, T..",3357,15,1,BAL,COL,BAL,67,0,0
20,1,1,08:52,3232,1,10,COL,45,"Rush by Harp, D. for a short gain. Tackle by Marrett, O..",3357,15,1,BAL,COL,BAL,45,0,0
21,1,1,08:36,3216,2,10,COL,45,"Pass by Gambino, C., complete to Brown, M. for 36 yds. Tackle by Berry, M..",3357,15,1,BAL,COL,BAL,45,0,0
22,1,1,07:26,3146,1,9,COL,9,"Pass by Gambino, C., complete to Brown, M. for 2 yds. Tackle by Lejune, L.. FUMBLE by Brown, M., recovered by Brown, M..",3357,15,1,BAL,COL,BAL,9,0,0
23,1,1,06:54,3114,2,7,COL,7,"Pass by Gambino, C., complete to Valentine, V. for 7 yds.",3357,15,1,BAL,COL,BAL,7,0,0
24,1,1,06:34,3094,,,,,TOUCHDOWN! (Frost kick good),3357,15,1,BAL,COL,BAL,,0,7
25,1,1,06:34,3094,,,BAL,30,"Frost, A. kicks off.",3357,15,1,BAL,COL,BAL,70,0,7
26,3,1,06:34,3094,,,COL,16,"Kickoff of 64 yards. Returned by Bishop, J. for 10 yards.",3357,15,1,BAL,COL,COL,84,0,7
27,3,1,06:28,3088,1,10,COL,16,"Pass by McCormick, M. to LaMelllana, S. is incomplete. Broken up by Hondo, A..",3357,15,1,BAL,COL,COL,84,0,7
28,3,1,06:21,3081,2,10,COL,16,"Pass by McCormick, M. to Bishop, J. is incomplete. Broken up by Hornbacher, A..",3357,15,1,BAL,COL,COL,84,0,7
29,3,1,06:15,3075,3,10,COL,16,"Pass by McCormick, M., complete to Taffy, T. for 16 yds. Tackle by Asipi III, A..",3357,15,1,BAL,COL,COL,84,0,7
30,3,1,05:41,3041,1,10,COL,32,"Pass by McCormick, M., complete to Bishop, J. for 11 yds. Tackle by Green, W..",3357,15,1,BAL,COL,COL,68,0,7
31,3,1,05:01,3001,1,10,COL,43,"Pass by McCormick, M., to North, F.. INTERCEPTION by Asipi III, A. at the COL - 49 yard line and returned for 49 yards.",3357,15,1,BAL,COL,COL,57,0,7
32,1,1,04:35,2975,,,,,TOUCHDOWN! (Frost kick good),3357,15,1,BAL,COL,BAL,,0,14
33,1,1,04:35,2975,,,BAL,30,"Frost, A. kicks off.",3357,15,1,BAL,COL,BAL,70,0,14
34,3,1,04:35,2975,,,,,"Bishop, J. takes it down the middle.",3357,15,1,BAL,COL,COL,,0,14
35,3,1,04:35,2975,,,,,"Bishop, J. waits for blockers.",3357,15,1,BAL,COL,COL,,0,14
36,3,1,04:35,2975,,,,,A 41 yard return.,3357,15,1,BAL,COL,COL,,0,14
37,3,1,04:28,2968,1,10,COL,49,"Rush by Taffy, T. for 4 yds. Tackle by Horne, B..",3357,15,1,BAL,COL,COL,51,0,14
38,3,1,04:04,2944,2,6,BAL,47,"Pass by McCormick, M. to Crindy, B. falls incomplete.",3357,15,1,BAL,COL,COL,47,0,14
39,3,1,04:00,2940,3,6,BAL,47,"Pass by McCormick, M., complete to Crindy, B. for 6 yds. Tackle by Asipi III, A..",3357,15,1,BAL,COL,COL,47,0,14
40,3,1,03:25,2905,1,10,BAL,41,"Pass by McCormick, M., complete to Taffy, T. for 10 yds. Tackle by Asipi III, A..",3357,15,1,BAL,COL,COL,41,0,14
41,3,1,02:46,2866,1,10,BAL,31,"Pass by McCormick, M., complete to Crindy, B. for 4 yds. Tackle by Terim, F..",3357,15,1,BAL,COL,COL,31,0,14
42,3,1,02:16,2836,2,6,BAL,27,"Pass by McCormick, M., complete to Bishop, J. for 13 yds. Tackle by Green, W..",3357,15,1,BAL,COL,COL,27,0,14
43,3,1,01:46,2806,1,10,BAL,14,"Pass by McCormick, M. to Crindy, B. was dropped! Incomplete.",3357,15,1,BAL,COL,COL,14,0,14
44,3,1,01:43,2803,2,10,BAL,14,"Rush by Cansino, D. for 5 yds. Tackle by Horne, B..",3357,15,1,BAL,COL,COL,14,0,14
45,3,1,01:28,2788,3,5,BAL,9,"Pass by McCormick, M., complete to Crindy, B. for 9 yds.",3357,15,1,BAL,COL,COL,9,0,14
46,3,1,00:47,2747,,,,,TOUCHDOWN! (Ramero kick good),3357,15,1,BAL,COL,COL,,7,14
47,3,1,00:47,2747,,,COL,30,"Ramero, E. kicks off.",3357,15,1,BAL,COL,COL,70,7,14
48,1,1,00:47,2747,,,BAL,28,"Kickoff of 70 yards. Returned by Hornbacher, A. for 28 yards.",3357,15,1,BAL,COL,BAL,72,7,14
49,1,1,00:41,2741,1,10,BAL,28,"Pass by Gambino, C., complete to Harp, D. for 6 yds. Tackle by Gabagool, T..",3357,15,1,BAL,COL,BAL,72,7,14
50,1,1,00:10,2710,2,9,BAL,29,"Hawks Penalty on Grey, S.: False Start.",3357,15,1,BAL,COL,BAL,71,7,14
51,1,1,00:10,2710,2,9,BAL,29,"Pass by Gambino, C. to Valentine, V. falls incomplete.",3357,15,1,BAL,COL,BAL,71,7,14
52,1,1,00:04,2704,3,9,BAL,29,"Pass by Gambino, C., complete to Valentine, V. for 7 yds. Tackle by Montgomery, B..",3357,15,1,BAL,COL,BAL,71,7,14
53,3,2,15:00,2700,4,2,BAL,36,"Punt by Frost, A. of 33 yards.",3357,15,1,BAL,COL,BAL,64,7,14
54,3,2,15:00,2700,,,,,"Returned by Bishop, J. for 11 yards.",3357,15,1,BAL,COL,COL,,7,14
55,3,2,14:52,2692,1,10,COL,41,"Rush by Cansino, D. for 6 yds. Tackle by Terim, F..",3357,15,1,BAL,COL,COL,59,7,14
56,3,2,14:24,2664,2,4,COL,47,"Rush by Taffy, T. for 1 yds. Tackle by Mbanefo, K..",3357,15,1,BAL,COL,COL,53,7,14
57,3,2,13:58,2638,3,3,COL,48,"Pass by McCormick, M., complete to Taffy, T. for 3 yds. Tackle by Terim, F..",3357,15,1,BAL,COL,COL,52,7,14
58,3,2,13:24,2604,1,10,BAL,48,"Pass by McCormick, M. to LaMelllana, S. was dropped! Incomplete.",3357,15,1,BAL,COL,COL,48,7,14
59,3,2,13:20,2600,2,10,BAL,48,"Rush by Taffy, T. for 3 yds. Tackle by Trout, C..",3357,15,1,BAL,COL,COL,48,7,14
60,3,2,12:55,2575,3,7,BAL,45,"Pass by McCormick, M., complete to Bishop, J. for 24 yds. Tackle by Green, W..",3357,15,1,BAL,COL,COL,45,7,14
61,3,2,11:51,2511,1,10,BAL,21,"Pass by McCormick, M. to Bishop, J. falls incomplete.",3357,15,1,BAL,COL,COL,21,7,14
62,3,2,11:47,2507,2,10,BAL,21,"Pass by McCormick, M. to Bishop, J. falls incomplete.",3357,15,1,BAL,COL,COL,21,7,14
63,3,2,11:44,2504,3,10,BAL,21,"McCormick, M. SACKED by Walt Green - FS for -11 yds.",3357,15,1,BAL,COL,COL,21,7,14
64,1,2,11:08,2468,4,21,BAL,32,"Punt by Ramero, E. of 32 yards. Touchback.",3357,15,1,BAL,COL,COL,32,7,14
65,1,2,11:03,2463,1,10,BAL,20,"Pass by Gambino, C., complete to L'Alto, V. for 6 yds. Tackle by Gabagool, T..",3357,15,1,BAL,COL,BAL,80,7,14
66,1,2,10:32,2432,2,4,BAL,26,"Pass by Gambino, C., complete to Valentine, V. for 25 yds. Tackle by Montgomery, B..",3357,15,1,BAL,COL,BAL,74,7,14
67,1,2,09:45,2385,1,10,COL,49,"Rush by Brown, M. for 9 yds. Tackle by Sinclair, Q..",3357,15,1,BAL,COL,BAL,49,7,14
68,1,2,09:23,2363,2,1,COL,40,"Gambino, C. throws the ball away to avoid the sack.",3357,15,1,BAL,COL,BAL,40,7,14
69,1,2,08:49,2329,3,1,COL,40,"Rush by Brown, M. for 9 yds. Tackle by Sinclair, Q..",3357,15,1,BAL,COL,BAL,40,7,14
70,1,2,08:24,2304,1,10,COL,31,"Pass by Gambino, C., complete to Maddox, E. for 14 yds. Tackle by McCoy, C..",3357,15,1,BAL,COL,BAL,31,7,14
71,1,2,07:44,2264,1,10,COL,17,"Rush by Brown, M. for 4 yds. Tackle by Berry, M..",3357,15,1,BAL,COL,BAL,17,7,14
72,1,2,07:28,2248,2,6,COL,13,"Rush by Brown, M. for 7 yds. Tackle by Berry, M..",3357,15,1,BAL,COL,BAL,13,7,14
73,1,2,07:08,2228,1,6,COL,6,"Pass by Gambino, C., complete to Nagasawa, Y. for 6 yds.",3357,15,1,BAL,COL,BAL,6,7,14
