,teamID,Q,time,totTime,down,distance,side,yard,play,gameID,S,W,homeTeam,awayTeam,teamPoss,dist2goal,awayScore,homeScore
0,3,1,15:00,3600,,,COL,30,"McCormick, M. kicks off.",1728,7,1,COL,YKW,COL,70,0,0
1,2,1,15:00,3600,,,,,The kick sails into the endzone.,1728,7,1,COL,YKW,YKW,,0,0
2,2,1,15:00,3600,,,,,"Lavelle, D. takes it out of the endzone!",1728,7,1,COL,YKW,YKW,,0,0
3,2,1,15:00,3600,,,,,"Lavelle, D. takes it down the right side.",1728,7,1,COL,YKW,YKW,,0,0
4,2,1,15:00,3600,,,,,"Lavelle, D. cuts across the field.",1728,7,1,COL,YKW,YKW,,0,0
5,2,1,15:00,3600,,,,,A 58 yard return.,1728,7,1,COL,YKW,YKW,,0,0
6,2,1,14:52,3592,1,10,COL,41,"Akselsen, M. SACKED by Haruki Ishigawa - LB for -7 yds.",1728,7,1,COL,YKW,YKW,41,0,0
7,2,1,14:13,3553,2,17,COL,48,"Pass by Akselsen, M. to McPoyal, G. was dropped! Incomplete.",1728,7,1,COL,YKW,YKW,48,0,0
8,2,1,14:08,3548,3,17,COL,48,"Pass by Akselsen, M., complete to McPoyal, G. for 12 yds. Tackle by (R) Danger, D..",1728,7,1,COL,YKW,YKW,48,0,0
9,2,1,13:19,3499,4,5,COL,36,"Pass by Akselsen, M., to Kennedy, E.. INTERCEPTION by Tillman, M. at the COL - 22 yard line and returned for 77 yards.",1728,7,1,COL,YKW,YKW,36,0,0
10,3,1,12:57,3477,1,1,YKW,1,"Pass by (R) Applehort, R. to Aaron, D. was dropped! Incomplete.",1728,7,1,COL,YKW,COL,1,0,0
11,3,1,12:53,3473,2,1,YKW,1,"(R) Applehort, R. throws the ball away to avoid the sack.",1728,7,1,COL,YKW,COL,1,0,0
12,3,1,12:29,3449,3,1,YKW,1,"(R) Applehort, R. SACKED by Marcus Kane - SS for -6 yds.",1728,7,1,COL,YKW,COL,1,0,0
13,3,1,12:03,3423,4,6,YKW,6,"23 yard FG by McCormick, M. is good.",1728,7,1,COL,YKW,COL,6,0,3
14,3,1,12:03,3423,,,COL,30,"McCormick, M. kicks off.",1728,7,1,COL,YKW,COL,70,0,3
15,2,1,12:03,3423,,,,,The kick sails into the endzone.,1728,7,1,COL,YKW,YKW,,0,3
16,2,1,12:03,3423,,,,,"Cook, B. takes it out of the endzone!",1728,7,1,COL,YKW,YKW,,0,3
17,2,1,12:03,3423,,,YKW,29,"Kickoff of 76 yards. Returned by Cook, B. for 29 yards.",1728,7,1,COL,YKW,YKW,71,0,3
18,2,1,11:53,3413,1,10,YKW,29,"Rush by Rainey, R. for 3 yds. Tackle by (R) LeFevre, R..",1728,7,1,COL,YKW,YKW,71,0,3
19,2,1,11:24,3384,2,7,YKW,32,"Akselsen, M. throws the ball away to avoid the sack.",1728,7,1,COL,YKW,YKW,68,0,3
20,2,1,11:07,3367,3,7,YKW,32,"Pass by Akselsen, M., complete to Kennedy, E. for 32 yds. Tackle by Tillman, M..",1728,7,1,COL,YKW,YKW,68,0,3
21,2,1,09:45,3285,1,10,COL,35,"Rush by Rainey, R. for 3 yds. Tackle by Saint, J..",1728,7,1,COL,YKW,YKW,35,0,3
22,2,1,09:22,3262,2,7,COL,32,"Pass by Akselsen, M., complete to Cook, B. for 6 yds. Tackle by Bly Jr., A..",1728,7,1,COL,YKW,YKW,32,0,3
23,2,1,08:47,3227,3,1,COL,26,"Rush by Milan, C. for 0 yds. Tackle by Ishigawa, H..",1728,7,1,COL,YKW,YKW,26,0,3
24,2,1,08:13,3193,4,1,COL,26,"43 yard FG by Forfeit, N. is good.",1728,7,1,COL,YKW,YKW,26,3,3
25,2,1,08:13,3193,,,YKW,30,"Forfeit, N. kicks off.",1728,7,1,COL,YKW,YKW,70,3,3
26,3,1,08:13,3193,,,,,"Bly Jr., A. takes it down the middle.",1728,7,1,COL,YKW,COL,,3,3
27,3,1,08:13,3193,,,,,"Bly Jr., A. is finally brought down. A 39 yard return.",1728,7,1,COL,YKW,COL,,3,3
28,3,1,08:07,3187,1,10,COL,47,"Rush by Nuck, B. for 1 yds. Tackle by Tiernan, L..",1728,7,1,COL,YKW,COL,53,3,3
29,3,1,07:52,3172,2,9,COL,48,"Pass by (R) Applehort, R., complete to Wheat, B. for 7 yds. Tackle by Carter, P..",1728,7,1,COL,YKW,COL,52,3,3
30,3,1,07:22,3142,3,2,YKW,45,"Rush by Nuck, B. for 4 yds. Tackle by Tweed, B..",1728,7,1,COL,YKW,COL,45,3,3
31,3,1,07:00,3120,1,5,YKW,36,"Wraiths Penalty on Hardrool, C.: Encroachment.",1728,7,1,COL,YKW,COL,36,3,3
