,teamID,Q,time,totTime,down,distance,side,yard,play,gameID,S,W,homeTeam,awayTeam,teamPoss,dist2goal,awayScore,homeScore
0,5,1,15:00,3600,,,OCO,30,"Anderson, A. kicks off.",3012,13,1,OCO,COL,OCO,70,0,0
1,3,1,15:00,3600,,,COL,26,"Kickoff of 67 yards. Returned by Miller, H. for 23 yards.",3012,13,1,OCO,COL,COL,74,0,0
2,3,1,14:50,3590,1,20,COL,16,"Yeti Penalty on Tackle, L.: Illegal use of Hands.",3012,13,1,OCO,COL,COL,84,0,0
3,3,1,14:38,3578,1,28,COL,8,"Yeti Penalty on Centre, S.: Tripping.",3012,13,1,OCO,COL,COL,92,0,0
4,3,1,14:23,3563,1,28,COL,8,"Pass by McCormick, M. to Chipmunk, A. is incomplete. Broken up by Brown, M..",3012,13,1,OCO,COL,COL,92,0,0
5,3,1,14:19,3559,2,28,COL,8,"Pass by McCormick, M., complete to Miller, H. for 7 yds. Tackle by Broxton, J..",3012,13,1,OCO,COL,COL,92,0,0
6,3,1,13:52,3532,3,21,COL,15,"Pass by McCormick, M., complete to Bishop, J. for 7 yds. Tackle by Spector, M..",3012,13,1,OCO,COL,COL,85,0,0
7,5,1,13:21,3501,4,14,COL,22,"Punt by Corbett, K. of 40 yards. No return.",3012,13,1,OCO,COL,COL,78,0,0
8,5,1,13:14,3494,1,10,OCO,38,"Rush by Adams, R. for 0 yds. Tackle by Sachs, J..",3012,13,1,OCO,COL,OCO,62,0,0
9,5,1,13:01,3481,2,10,OCO,38,"Pass by Showbiz, G., complete to Zephyrous, S. for 3 yds. Tackle by Danger, D..",3012,13,1,OCO,COL,OCO,62,0,0
10,5,1,12:33,3453,3,7,OCO,41,"Pass by Showbiz, G., complete to Sunnycursed, N. for 31 yds. Tackle by Hornbacher, A..",3012,13,1,OCO,COL,OCO,59,0,0
11,5,1,11:43,3403,1,10,COL,28,"Rush by Adams, R. for 3 yds. Tackle by Lejune, L..",3012,13,1,OCO,COL,OCO,28,0,0
12,5,1,11:31,3391,2,7,COL,25,"Pass by Showbiz, G., complete to Adams, R. for 25 yds.",3012,13,1,OCO,COL,OCO,25,0,0
13,5,1,10:51,3351,,,,,TOUCHDOWN! (Anderson kick good),3012,13,1,OCO,COL,OCO,,0,7
14,5,1,10:51,3351,,,OCO,30,"Anderson, A. kicks off.",3012,13,1,OCO,COL,OCO,70,0,7
15,3,1,10:51,3351,,,COL,21,"Kickoff of 64 yards. Returned by Bishop, J. for 15 yards.",3012,13,1,OCO,COL,COL,79,0,7
16,3,1,10:45,3345,1,10,COL,21,"Rush by Grau, M. for 7 yds. Tackle by Rice, J..",3012,13,1,OCO,COL,COL,79,0,7
17,3,1,10:15,3315,2,3,COL,28,"Rush by Cansino, D. for a short gain. Tackle by Brown, M..",3012,13,1,OCO,COL,COL,72,0,7
18,3,1,9:48,3288,3,3,COL,28,"Pass by McCormick, M., complete to Chipmunk, A. for 2 yds. Tackle by Ramero, R..",3012,13,1,OCO,COL,COL,72,0,7
19,5,1,9:14,3254,4,1,COL,30,"Punt by Corbett, K. of 30 yards.",3012,13,1,OCO,COL,COL,70,0,7
20,5,1,9:14,3254,,,,,"Returned by Bly Jr., A. for 7 yards.",3012,13,1,OCO,COL,OCO,,0,7
21,5,1,9:02,3242,1,10,OCO,47,"Pass by Showbiz, G. to Adams, R. was dropped! Incomplete.",3012,13,1,OCO,COL,OCO,53,0,7
22,5,1,8:57,3237,2,10,OCO,47,"Rush by Adams, R. for 5 yds. Tackle by Mills, B..",3012,13,1,OCO,COL,OCO,53,0,7
23,5,1,8:39,3219,3,5,COL,48,"Pass by Showbiz, G., complete to McPoyal, G. for 8 yds. Tackle by Tillman, M..",3012,13,1,OCO,COL,OCO,48,0,7
24,5,1,8:07,3187,1,10,COL,40,"Rush by Zephyrous, S. for a short gain. Tackle by Wrong, O..",3012,13,1,OCO,COL,OCO,40,0,7
25,5,1,7:55,3175,2,10,COL,40,"Pass by Showbiz, G. to Atwell, T. falls incomplete.",3012,13,1,OCO,COL,OCO,40,0,7
26,5,1,7:49,3169,3,10,COL,40,"Pass by Showbiz, G. to Sunnycursed, N. falls incomplete.",3012,13,1,OCO,COL,OCO,40,0,7
27,3,1,7:42,3162,4,10,COL,40,"Punt by Anderson, A. of 40 yards. Touchback.",3012,13,1,OCO,COL,OCO,40,0,7
28,3,1,7:39,3159,1,10,COL,20,"Rush by Grau, M. for 5 yds. Tackle by Brown, M..",3012,13,1,OCO,COL,COL,80,0,7
29,3,1,7:16,3136,2,5,COL,25,"Pass by McCormick, M., complete to Miller, H. for 23 yds. Tackle by Broxton, J..",3012,13,1,OCO,COL,COL,75,0,7
30,3,1,6:30,3090,1,10,COL,48,"Rush by Grau, M. for 4 yds. Tackle by Brown, M..",3012,13,1,OCO,COL,COL,52,0,7
31,3,1,6:00,3060,2,6,OCO,48,"Pass by McCormick, M., complete to Bishop, J. for 9 yds. Tackle by Bly Jr., A..",3012,13,1,OCO,COL,COL,48,0,7
32,3,1,5:30,3030,1,10,OCO,39,"Rush by Grau, M. for a short gain. Tackle by Sierra, R..",3012,13,1,OCO,COL,COL,39,0,7
33,3,1,5:18,3018,2,10,OCO,39,"Pass by McCormick, M., complete to L'Alto, V. for 11 yds. Tackle by Grithead, D..",3012,13,1,OCO,COL,COL,39,0,7
34,3,1,4:44,2984,1,10,OCO,28,"Pass by McCormick, M. to Miller, H. is incomplete. Broken up by Broxton, J..",3012,13,1,OCO,COL,COL,28,0,7
35,3,1,4:39,2979,2,10,OCO,28,"Pass by McCormick, M. to Miller, H. is incomplete. Broken up by Broxton, J..",3012,13,1,OCO,COL,COL,28,0,7
36,3,1,4:33,2973,3,10,OCO,28,"Pass by McCormick, M., complete to Chipmunk, A. for 5 yds. Tackle by Rice, J..",3012,13,1,OCO,COL,COL,28,0,7
37,3,1,4:08,2948,4,5,OCO,23,"40 yard FG by Corbett, K. is good.",3012,13,1,OCO,COL,COL,23,3,7
38,3,1,4:08,2948,,,COL,30,"Corbett, K. kicks off.",3012,13,1,OCO,COL,COL,70,3,7
39,5,1,4:08,2948,,,,,"Bly Jr., A. takes it down the middle.",3012,13,1,OCO,COL,OCO,,3,7
40,5,1,4:08,2948,,,,,"Bly Jr., A. waits for blockers.",3012,13,1,OCO,COL,OCO,,3,7
41,5,1,4:08,2948,,,,,A 41 yard return.,3012,13,1,OCO,COL,OCO,,3,7
42,5,1,3:57,2937,1,10,OCO,43,"Pass by Showbiz, G., complete to Crush, C. for 6 yds. Tackle by Montgomery, B..",3012,13,1,OCO,COL,OCO,57,3,7
