,Q,Score Type,Time Remaining,Play,BAL,YKW
1,1,TD,11:03,Dorfus Jimbo (R) 3 yd run. (ForThe Brand (R) kick),7,0
2,1,TD,7:36,Errol Maddox 10 yd pass from Corvo Havran (R). (ForThe Brand (R) kick),14,0
3,1,TD,0:27,Brad Pennington 14 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),14,7
5,2,FG,13:29,36 yd FG by ForThe Brand (R),17,7
6,2,TD,11:15,Marquise Brown 1 yd run. (ForThe Brand (R) kick),24,7
7,2,FG,4:05,37 yd FG by Stephen Harris Jr,24,10
9,3,FG,4:42,42 yd FG by Stephen Harris Jr,24,13
11,4,FG,12:37,30 yd FG by Stephen Harris Jr,24,16
12,4,TD,7:11,Marquise Brown 13 yd run. (ForThe Brand (R) kick),31,16
13,4,TD,0:54,Jerrod Canton 5 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),31,23
