,Q,Score Type,Time Remaining,Play,AUS,OCO
1,1,TD,7:47,Rod Tidwell 8 yd pass from Easton Cole. (Alfredo Crisco kick),7,0
2,1,SF,7:21,Franklin Armstrong tackled for a safety.,9,0
3,1,FG,1:29,54 yd FG by Alfredo Crisco,12,0
5,2,FG,13:57,29 yd FG by Alex Dasistwirklichseinnachname,12,3
6,2,FG,0:16,23 yd FG by Alex Dasistwirklichseinnachname,12,6
8,3,TD,10:08,Franklin Armstrong 19 yd run. (Alex Dasistwirklichseinnachname kick),12,13
9,3,FG,3:47,32 yd FG by Alex Dasistwirklichseinnachname,12,16
10,3,TD,0:48,Rod Tidwell 17 yd pass from Easton Cole. (Alfredo Crisco kick),19,16
12,4,FG,14:04,43 yd FG by Alex Dasistwirklichseinnachname,19,19
13,4,TD,8:02,Charles Allan (R) 3 yd run. (Alex Dasistwirklichseinnachname kick),19,26
14,4,FG,2:39,47 yd FG by Alex Dasistwirklichseinnachname,19,29
