,Q,Score Type,Time Remaining,Play,AUS,YKW
1,1,TD,12:36,Josh Parker 14 yd pass from Cooter Bigsby. (Kicky Bobby (R) kick),0,7
2,1,FG,9:51,29 yd FG by Alfredo Crisco,3,7
3,1,FG,5:07,34 yd FG by Alfredo Crisco,6,7
5,2,TD,9:47,Peter Larson 3 yd pass from Easton Cole. (Alfredo Crisco kick),13,7
6,2,TD,5:49,Jerrod Canton 11 yd pass from Cooter Bigsby. (Kicky Bobby (R) kick),13,14
7,2,TD,3:12,Josh Parker 9 yd pass from Cooter Bigsby. (Kicky Bobby (R) kick),13,21
8,2,FG,0:26,30 yd FG by Alfredo Crisco,16,21
10,3,SF,2:32,Cooter Bigsby tackled for a safety.,18,21
12,4,FG,13:31,36 yd FG by Alfredo Crisco,21,21
13,4,TD,4:01,Ashley Owens 9 yd pass from Easton Cole. (Alfredo Crisco kick),28,21
