,Q,Score Type,Time Remaining,Play,NO,OCO
1,1,FG,9:47,23 yd FG by Beat Meoff,3,0
2,1,TD,5:37,Ricky Adams 3 yd pass from Gus T.T. Showbiz. (Adam (R) Anderson kick),3,7
4,2,TD,12:32,Carlito Crush 2 yd pass from Gus T.T. Showbiz. (Adam (R) Anderson kick),3,14
5,2,FG,5:42,34 yd FG by Beat Meoff,6,14
6,2,TD,1:58,Darren Smallwood 1 yd run. (Beat Meoff kick),13,14
8,3,TD,10:57,Ricky Adams 9 yd pass from Gus T.T. Showbiz. (Adam (R) Anderson kick),13,21
9,3,FG,5:55,39 yd FG by Beat Meoff,16,21
10,3,TD,2:18,Carlito Crush 3 yd pass from Gus T.T. Showbiz. (Adam (R) Anderson kick),16,28
11,3,FG,0:15,45 yd FG by Beat Meoff,19,28
13,4,TD,11:34,Jaylon Broxton 19 yd pass from Gus T.T. Showbiz. (Adam (R) Anderson kick),19,35
14,4,TD,2:59,Charlie Law 24 yd pass from Borkus Maximus III. (2pt conversion failed),25,35
