,Q,Score Type,Time Remaining,Play,BAL,OCO
1,1,FG,11:54,44 yd FG by ForThe Brand,3,0
2,1,TD,4:29,Johnny Blaze 28 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),3,7
4,2,FG,14:01,31 yd FG by Alex Dasistwirklichseinnachname,3,10
5,2,TD,5:48,Asher Quinn (R) 9 yd pass from Corvo Havran. (ForThe Brand kick),10,10
6,2,TD,1:40,Dexter Banks II 22 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),10,17
8,3,TD,10:47,Adrian Pitcher 1 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),10,24
9,3,TD,5:26,Errol Maddox 12 yd pass from Corvo Havran. (ForThe Brand kick),17,24
10,3,FG,2:39,17 yd FG by Alex Dasistwirklichseinnachname,17,27
12,4,TD,13:05,Ludicolo Bigby 3 yd run. (ForThe Brand kick),24,27
13,4,TD,2:12,Dexter Banks II 31 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),24,34
14,4,TD,0:00,Slim Shady 5 yd run. (Alex Dasistwirklichseinnachname kick),24,41
