,Q,Score Type,Time Remaining,Play,AZ,OCO
1,1,TD,13:54,Reg Mackworthy 1 yd run. (Dean Jackson kick),7,0
2,1,FG,8:26,39 yd FG by Bradley Madlad,7,3
3,1,FG,2:33,38 yd FG by Bradley Madlad,7,6
5,2,TD,13:22,Jordan Yates 29 yd pass from Mike Boss. (Bradley Madlad kick),7,13
6,2,FG,12:00,42 yd FG by Dean Jackson,10,13
7,2,FG,4:59,46 yd FG by Dean Jackson,13,13
8,2,TD,2:26,Jordan Yates 26 yd pass from Mike Boss. (Bradley Madlad kick),13,20
10,3,FG,11:50,34 yd FG by Bradley Madlad,13,23
11,3,FG,7:26,21 yd FG by Dean Jackson,16,23
12,3,TD,3:47,Jordan Yates 2 yd pass from Mike Boss. (Bradley Madlad kick),16,30
14,4,TD,9:30,Bradley Westfield 3 yd pass from Mike Boss. (Bradley Madlad kick),16,37
15,4,TD,5:55,Erlich Burnsman 2 yd run. (Bradley Madlad kick),16,44
16,4,TD,3:01,Reg Mackworthy 3 yd run. (Dean Jackson kick),23,44
17,4,FG,1:09,46 yd FG by Bradley Madlad,23,47
