,Q,Score Type,Time Remaining,Play,BAL,AZ
1,1,TD,8:59,Omar Wright 1 yd run. (Dean Jackson kick),0,7
2,1,TD,0:00,Charles Arthur Chess 30 yd pass from King Bronko. (Dean Jackson kick),0,14
4,2,TD,13:29,Reg Mackworthy 76 yd punt return. (Dean Jackson kick),0,21
5,2,TD,9:42,Verso (R) L'Alto 2 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,21
6,2,FG,0:25,44 yd FG by Turk Turkleton,10,21
8,3,TD,9:28,Owen Taylor 3 yd run. (Turk Turkleton kick),17,21
9,3,TD,3:37,Omar Wright 1 yd run. (Dean Jackson kick),17,28
10,3,TD,0:20,Owen Taylor 3 yd pass from Avon Blocksdale. (Turk Turkleton kick),24,28
12,4,FG,9:17,37 yd FG by Turk Turkleton,27,28
13,4,TD,2:47,Omar Wright 4 yd run. (Dean Jackson kick),27,35
14,4,TD,0:31,Verso (R) L'Alto 2 yd pass from Avon Blocksdale. (2pt conversion good),35,35
16,5,TD,11:32,Alexandre LeClair 2 yd pass from Avon Blocksdale.,41,35
