Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Flash, X.",SJS,7,92,13.1,24,0,6,13
"Brannigan, Z.",SJS,7,53,7.6,11,1,6,13
"Oles, K.",SJS,3,68,22.7,35,1,6,13
"Justice, T.",SJS,2,37,18.5,22,1,6,13
"Canton, J.",SJS,1,20,20,20,0,6,13
"Orosz, C.",SJS,1,6,6,6,0,6,13
"Williams, R.",SJS,1,1,1,1,0,6,13
"L'Alto, V.",COL,6,74,12.3,27,0,6,13
"Bishop, J.",COL,6,71,11.8,24,0,6,13
"Miller, H.",COL,5,117,23.4,31,0,6,13
"Grau, M.",COL,4,22,5.5,11,0,6,13
"Chipmunk, A.",COL,2,9,4.5,6,0,6,13
"Cansino, D.",COL,1,3,3,3,0,6,13
