,Q,Score Type,Time Remaining,Play,NO,PHI
1,1,FG,6:55,35 yd FG by Kulture Fulture,0,3
3,2,TD,14:28,Marquise Brown 2 yd run. (Kulture Fulture kick),0,10
4,2,FG,12:02,43 yd FG by Kulture Fulture,0,13
5,2,TD,6:11,Marquise Brown 8 yd run. (Kulture Fulture kick),0,20
6,2,TD,1:10,Tyler Swift 1 yd pass from Borkus Maximus III. (Beat Meoff kick),7,20
8,3,TD,8:31,Sam Hardwick 5 yd pass from Adriana Falconi. (Kulture Fulture kick),7,27
9,3,TD,5:09,Jordan von Matt 34 yd pass from Adriana Falconi. (Kulture Fulture kick),7,34
10,3,TD,4:49,Dan Schneider 92 yd kickoff return. (Beat Meoff kick),14,34
12,4,FG,12:31,18 yd FG by Beat Meoff,17,34
13,4,TD,2:33,LaMarcus Strike 5 yd run. (Kulture Fulture kick),17,41
