Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Gabagool, T.",COL,8,0,0,2,1,0,0,0,0,0,0,0,10,23
"Bumper, T.",COL,6,0,0,4,0,0,0,0,0,0,0,0,10,23
"Parker, P.",COL,6,0,1,0,0,0,0,0,0,0,0,0,10,23
"Scott, R.",COL,6,0,0,1,0,0,0,0,0,0,0,0,10,23
"Blackstone, I.",COL,5,1,1,0,0,0,0,0,0,0,0,0,10,23
"Kirkby, T.",COL,5,0,0,0,0,0,0,0,0,0,0,0,10,23
"Berry, M.",COL,4,0,1,0,0,0,0,0,0,0,0,0,10,23
"Purchase, L.",COL,2,0,0,4,0,0,0,0,0,0,0,0,10,23
"Thumper, B.",COL,2,0,0,0,0,0,0,0,0,0,0,0,10,23
"Sanchez, I.",COL,1,0,0,0,0,0,0,0,0,0,0,0,10,23
"Jadakiss, D.",AZ,11,0,0,0,0,0,0,0,0,0,0,0,10,23
"Koniecpolski, S.",AZ,9,0,0,0,0,0,0,0,0,0,0,0,10,23
"Quin, A.",AZ,6,0,0,2,0,0,0,0,0,0,0,0,10,23
"Hughes, Q.",AZ,5,0,0,0,0,0,0,0,0,0,0,0,10,23
"Kehla, Z.",AZ,5,0,0,1,0,0,0,0,0,0,0,0,10,23
"Masters, S.",AZ,4,0,1,0,0,0,0,0,0,0,0,0,10,23
"Miller II, C.",AZ,3,0,2,0,0,0,0,0,0,0,0,0,10,23
"Scarlett, D.",AZ,3,0,0,0,0,0,0,0,0,0,0,0,10,23
"Miller, P.",AZ,2,0,0,0,0,0,0,0,0,0,0,0,10,23
"Ryeu, S.",AZ,2,0,0,0,0,0,0,0,0,0,0,0,10,23
"Wilf, G.",AZ,2,0,2,2,1,0,0,0,0,0,0,0,10,23
