,Q,Score Type,Time Remaining,Play,OCO,AZ
1,1,TD,13:26,Carlito Crush 65 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),7,0
2,1,TD,12:02,Carlito Crush 32 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),14,0
3,1,FG,8:17,43 yd FG by Dean Jackson,14,3
4,1,TD,2:33,Viggo Squanch 3 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),14,10
6,2,TD,14:41,Viggo Squanch 1 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),14,17
7,2,FG,0:21,42 yd FG by Dean Jackson,14,20
9,3,TD,9:35,Seer Zephyrous 4 yd run. (Adam Anderson kick),21,20
10,3,FG,1:41,20 yd FG by Dean Jackson,21,23
12,4,TD,12:51,None Sunnycursed 2 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),28,23
13,4,FG,6:10,26 yd FG by Adam Anderson,31,23
