,Q,Score Type,Time Remaining,Play,SJS,BAL
1,1,SF,14:34,Joliet L. Christ tackled for a safety.,0,2
2,1,FG,6:30,41 yd FG by Neo Donaldson,3,2
3,1,TD,2:25,Viggo Squanch 11 yd pass from Childish Gambino. (Alex Frost kick),3,9
5,2,TD,6:31,Verso L'Alto 24 yd pass from Childish Gambino. (Alex Frost kick),3,16
7,3,TD,12:35,Marquise Brown 13 yd pass from Childish Gambino. (Alex Frost kick),3,23
8,3,FG,7:18,33 yd FG by Neo Donaldson,6,23
9,3,TD,0:51,Corwin Davenport 3 yd run. (Neo Donaldson XP no good),12,23
11,4,TD,8:44,Marquise Brown 1 yd run. (Alex Frost kick),12,30
12,4,TD,6:29,Declan Harp 8 yd pass from Childish Gambino. (Alex Frost kick),12,37
13,4,TD,2:05,Marquise Brown 6 yd pass from Childish Gambino. (Alex Frost kick),12,44
