Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Quail, D.",OCO,1,5,5,0
"Deck, I.",OCO,1,15,0,0
"Johns, A.",OCO,0,0,3,0
"Pak, Y.",OCO,0,0,3,0
"George, D.",OCO,0,0,2,0
"Harrison, H.",OCO,0,0,2,0
"Iridian, G.",OCO,0,0,1,0
"Nakamura, T.",OCO,0,0,1,0
"Phillips, J.",OCO,0,0,1,0
"Saurus, S.",AUS,1,5,3,1
"Jones, K.",AUS,1,15,1,1
"Idlewyld, K.",AUS,1,5,0,0
"Mendoza, C.",AUS,1,15,0,0
"Tidwell, R.",AUS,1,5,0,0
"Fassingit, H.",AUS,0,0,6,0
"Saurus, A.",AUS,0,0,6,0
"Beaver-Dantes, E.",AUS,0,0,2,0
"Larson, P.",AUS,0,0,2,0
