Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Wozniak, J.",SJS,6,0,1,1,0,0,0,0,0,0,0,0,10,18
"Grimnir, O.",SJS,5,0,0,1,0,0,0,0,0,0,0,0,10,18
"Brackenridge, T.",SJS,4,0,0,1,0,0,0,0,0,0,0,0,10,18
"Rowland, A.",SJS,4,0,0,0,0,0,0,0,0,0,0,0,10,18
"Staley, T.",SJS,4,0,0,1,0,0,0,0,0,0,0,0,10,18
"Deringer, K.",SJS,3,0,0,0,0,0,0,0,0,0,0,0,10,18
"Tuck, J.",SJS,3,0,0,1,0,0,0,0,0,0,0,0,10,18
"Tuck, J.",SJS,2,0,0,0,0,0,0,0,0,0,0,0,10,18
"Burr-Kirven, J.",SJS,1,0,0,0,0,0,0,0,0,0,0,0,10,18
"Methane, D.",SJS,1,0,1,0,0,0,0,0,0,0,0,0,10,18
"Riposte, F.",SJS,1,0,0,0,0,0,0,0,0,0,0,1,10,18
"Acho, M.",BAL,12,0,0,0,0,0,0,0,0,0,0,0,10,18
"Terim, F.",BAL,8,0,0,1,0,0,0,0,0,0,0,0,10,18
"Asipi III, A.",BAL,7,1,0,0,0,0,0,0,0,0,0,0,10,18
"Baldari, F.",BAL,5,0,1,0,0,0,0,0,0,0,0,0,10,18
"Horne, B.",BAL,5,0,0,0,0,0,0,0,0,0,0,0,10,18
"Green, W.",BAL,4,0,0,1,0,0,0,0,0,0,0,0,10,18
"Hobbs, J.",BAL,4,0,1,0,0,0,0,0,0,0,0,0,10,18
"Harris, B.",BAL,3,0,0,0,0,0,0,0,0,0,0,0,10,18
"Jimbo, D.",BAL,3,0,0,2,0,0,0,0,0,0,0,0,10,18
"Poopsie, D.",BAL,3,0,0,0,0,0,0,0,0,0,0,0,10,18
"Troyski, X.",BAL,1,0,0,2,0,0,0,0,0,0,0,0,10,18
