,Q,Score Type,Time Remaining,Play,OCO,SJS
1,1,FG,7:14,36 yd FG by Al Sims,3,0
2,1,FG,3:13,46 yd FG by Iyah Blewitt,3,3
4,2,TD,7:50,Bradley Westfield 1 yd pass from Mike Boss. (Al Sims kick),10,3
5,2,FG,3:28,28 yd FG by Iyah Blewitt,10,6
6,2,FG,0:03,52 yd FG by Iyah Blewitt,10,9
8,3,TD,9:52,Jack Durden 5 yd run. (Iyah Blewitt XP no good),10,15
9,3,TD,1:38,Erlich Burnsman 1 yd run. (Al Sims kick),17,15
11,4,TD,11:47,Robert Phelps 21 yd pass from Mike Boss. (Al Sims kick),24,15
12,4,TD,6:52,Shane Weston 1 yd pass from Ethan Hunt. (Iyah Blewitt kick),24,22
13,4,FG,0:12,41 yd FG by Iyah Blewitt,24,25
