,Q,Score Type,Time Remaining,Play,AZ,YKW
1,1,TD,10:51,Sam Hardwick 7 yd pass from Andrew Reese. (Dean Jackson kick),7,0
2,1,TD,4:02,Brad Pennington 5 yd pass from Ryan Applehort. (None Forfeit kick),7,7
3,1,TD,0:21,Josh Parker 44 yd pass from Ryan Applehort. (None Forfeit kick),7,14
5,2,FG,5:59,44 yd FG by Dean Jackson,10,14
6,2,TD,2:04,Sam Hardwick 7 yd pass from Andrew Reese. (Dean Jackson kick),17,14
8,3,TD,11:56,Dick Wizardry 2 yd run. (None Forfeit kick),17,21
9,3,TD,5:33,Slim Shady 3 yd run. (Dean Jackson kick),24,21
10,3,TD,3:01,Nate Swift 3 yd pass from Ryan Applehort. (None Forfeit kick),24,28
12,4,FG,10:38,34 yd FG by None Forfeit,24,31
13,4,FG,4:03,23 yd FG by Dean Jackson,27,31
14,4,TD,3:06,Dick Wizardry 1 yd run. (None Forfeit kick),27,38
