,Q,Score Type,Time Remaining,Play,YKW,BAL
1,1,FG,10:12,28 yd FG by ForThe Brand,0,3
2,1,FG,6:06,23 yd FG by Neo Donaldson,3,3
3,1,TD,2:00,Ludicolo Bigby 5 yd pass from Corvo Havran. (ForThe Brand kick),3,10
4,1,TD,0:00,Tommy Helanen 19 yd pass from Cooter Bigsby. (Neo Donaldson kick),10,10
6,2,TD,7:22,Marquees Acho 43 yd interception return. (ForThe Brand kick),10,17
7,2,TD,3:29,Roger Batoff 19 yd pass from Cooter Bigsby. (Neo Donaldson kick),17,17
8,2,FG,0:26,35 yd FG by ForThe Brand,17,20
10,3,TD,9:00,Nate Swift 13 yd pass from Cooter Bigsby. (Neo Donaldson kick),24,20
11,3,TD,8:43,None Sunnycursed 108 yd kickoff return. (ForThe Brand kick),24,27
13,4,FG,1:15,30 yd FG by Neo Donaldson,27,27
15,5,TD,10:02,Ahri Espeeyeeseetee 2 yd pass from Corvo Havran.,27,33
