Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Willie, T.",AZ,7,94,13.4,25,1,8,12
"Squanch, V.",AZ,6,75,12.5,24,1,8,12
"Asipi III, A.",AZ,6,59,9.8,34,0,8,12
"Crindy, B.",AZ,6,55,9.2,32,0,8,12
"Shady, S.",AZ,4,39,9.8,23,0,8,12
"Moore, S.",AZ,2,17,8.5,9,0,8,12
"Christmas, C.",AZ,1,7,7,7,0,8,12
"McPoyal, G.",YKW,4,35,8.8,14,0,8,12
"Wizardry, D.",YKW,4,11,2.8,4,0,8,12
"Carrasco, T.",YKW,1,12,12,12,0,8,12
"Pennington, B.",YKW,1,11,11,11,0,8,12
"Parker, J.",YKW,1,6,6,6,0,8,12
"Pitcher, A.",YKW,1,6,6,6,0,8,12
