,Q,Score Type,Time Remaining,Play,AZ,BAL
1,1,TD,11:41,Alexandre LeClair 23 yd pass from Avon Blocksdale. (Turk Turkleton kick),0,7
2,1,TD,4:45,Alexandre LeClair 14 yd pass from Avon Blocksdale. (Turk Turkleton kick),0,14
4,2,FG,14:14,37 yd FG by Dean Jackson,3,14
5,2,TD,9:02,Trey Willie 4 yd pass from Avon Blocksdale. (Turk Turkleton kick),3,21
6,2,FG,6:25,45 yd FG by Dean Jackson,6,21
7,2,FG,4:09,42 yd FG by Turk Turkleton,6,24
8,2,TD,1:11,Charles Arthur Chess 1 yd pass from King Bronko. (Dean Jackson kick),13,24
10,3,TD,10:41,None Stormblessed 1 yd pass from Avon Blocksdale. (Turk Turkleton kick),13,31
11,3,TD,0:00,None Stormblessed 30 yd pass from Avon Blocksdale. (Turk Turkleton kick),13,38
13,4,TD,9:49,Alex Hayden 1 yd pass from King Bronko. (Dean Jackson kick),20,38
14,4,TD,6:28,Charlie Law 9 yd pass from King Bronko. (Dean Jackson kick),27,38
15,4,FG,0:00,29 yd FG by Turk Turkleton,27,41
