Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Miller, H.",COL,6,119,19.8,46,0,2,14
"Squanch, V.",COL,6,110,18.3,34,1,2,14
"Crindy, B.",COL,5,27,5.4,10,0,2,14
"Cansino, D.",COL,2,19,9.5,10,0,2,14
"Bishop, J.",COL,2,15,7.5,8,0,2,14
"LaMelllana, S.",COL,1,7,7,7,0,2,14
"Grau, M.",COL,1,5,5,5,0,2,14
"Chipmunk, A.",COL,1,4,4,4,1,2,14
"Batoff, R.",PHI,7,114,16.3,23,0,2,14
"Bush, C.",PHI,4,60,15,20,0,2,14
"von Matt, J.",PHI,4,31,7.8,11,0,2,14
"McCargue, B.",PHI,3,7,2.3,6,0,2,14
"Boija, F.",PHI,2,16,8,9,1,2,14
