,Q,Score Type,Time Remaining,Play,SJS,BAL
1,1,TD,4:01,Dieter Koch 16 yd pass from Avon Blocksdale. (Turk Turkleton kick),0,7
2,1,TD,0:28,Shane Weston 17 yd pass from Chris Orosz. (Iyah Blewitt kick),7,7
4,2,TD,12:10,Jordan Yates 4 yd run. (Iyah Blewitt kick),14,7
5,2,FG,8:56,36 yd FG by Iyah Blewitt,17,7
6,2,TD,4:38,Owen Taylor 8 yd run. (Turk Turkleton kick),17,14
8,3,FG,9:41,40 yd FG by Turk Turkleton,17,17
9,3,FG,1:06,45 yd FG by Turk Turkleton,17,20
11,4,TD,8:29,Shane Weston 12 yd pass from Chris Orosz. (Iyah Blewitt kick),24,20
12,4,FG,4:13,21 yd FG by Turk Turkleton,24,23
13,4,TD,2:29,Benson Bayley 46 yd interception return. (Iyah Blewitt kick),31,23
