,Q,Score Type,Time Remaining,Play,NO,SJS
1,1,FG,12:14,34 yd FG by Iyah Blewitt,0,3
2,1,FG,4:03,45 yd FG by Joseph Lombardi,3,3
3,1,SF,0:11,Borkus Maximus III tackled for a safety.,3,5
4,1,TD,0:00,Shane Weston 66 yd pass from Chris Orosz. (Iyah Blewitt kick),3,12
6,2,FG,3:47,41 yd FG by Iyah Blewitt,3,15
7,2,FG,0:29,43 yd FG by Joseph Lombardi,6,15
9,3,TD,10:20,Darren Smallwood 3 yd run. (Iyah Blewitt kick),6,22
10,3,TD,5:35,Shane Weston 15 yd pass from Chris Orosz. (Iyah Blewitt kick),6,29
12,4,FG,11:51,18 yd FG by Iyah Blewitt,6,32
13,4,TD,4:00,Dustin Evans 52 yd pass from Borkus Maximus III. (Joseph Lombardi kick),13,32
14,4,FG,1:33,20 yd FG by Iyah Blewitt,13,35
