,Q,Score Type,Time Remaining,Play,COL,BAL
2,2,FG,13:37,30 yd FG by Silver Banana,3,0
3,2,TD,13:22,Walt Green 94 yd kickoff return. (ForThe Brand kick),3,7
4,2,FG,9:15,26 yd FG by Silver Banana,6,7
5,2,FG,7:47,43 yd FG by Silver Banana,9,7
6,2,FG,4:53,23 yd FG by ForThe Brand,9,10
8,3,TD,9:31,Asher Quinn 10 yd pass from Chika Fujiwara (R). (ForThe Brand kick),9,17
9,3,FG,1:27,36 yd FG by Silver Banana,12,17
11,4,TD,7:05,Wolfie McDummy 3 yd run. (2pt conversion good),20,17
12,4,FG,3:45,30 yd FG by ForThe Brand,20,20
13,4,FG,0:19,54 yd FG by Silver Banana,23,20
