Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Maddox, E.",BAL,4,68,17,40,0,13,22
"Quinn, A.",BAL,3,29,9.7,12,1,13,22
"Lewandowski, J.",BAL,2,11,5.5,6,0,13,22
"Kross, C.",BAL,1,17,17,17,0,13,22
"Reed, A.",BAL,1,6,6,6,0,13,22
"Skuff, R.",BAL,1,6,6,6,0,13,22
"Owens, A.",COL,7,81,11.6,25,0,13,22
"Sauce, E.",COL,6,30,5,10,0,13,22
"Bishop, J.",COL,5,79,15.8,40,0,13,22
"Arrow, R.",COL,3,55,18.3,38,0,13,22
"Vincent, M.",COL,3,21,7,15,0,13,22
"Lim, W.",COL,2,29,14.5,18,0,13,22
"Robertowski, G.",COL,1,11,11,11,0,13,22
