,Q,Score Type,Time Remaining,Play,NO,SJS
1,1,FG,12:09,40 yd FG by Herbert Prohaska,3,0
3,2,TD,11:56,Bona'beri Jones 33 yd pass from Stan Francisco. (Herbert Prohaska kick),10,0
4,2,FG,9:41,46 yd FG by Herbert Prohaska,13,0
5,2,TD,5:12,Marcella Toriki 5 yd pass from Stan Francisco. (Herbert Prohaska kick),20,0
6,2,FG,1:46,43 yd FG by Kicky Bobby,20,3
8,3,FG,10:36,44 yd FG by Kicky Bobby,20,6
9,3,TD,7:16,Forrest Gump 4 yd run. (Herbert Prohaska kick),27,6
10,3,FG,2:38,42 yd FG by Kicky Bobby,27,9
12,4,FG,15:00,33 yd FG by Kicky Bobby,27,12
13,4,FG,10:17,46 yd FG by Kicky Bobby,27,15
