,Q,Score Type,Time Remaining,Play,BER,PHI
1,1,TD,7:30,Joseph Petrongolo 2 yd run. (Karmichael Hunt kick),7,0
2,1,TD,2:00,Fuzzy Dotson 1 yd run. (Jake Fencik kick),7,7
4,2,TD,6:46,Fuzzy Dotson 3 yd run. (Jake Fencik kick),7,14
5,2,FG,0:16,20 yd FG by Karmichael Hunt,10,14
7,3,TD,4:14,Flash Panda 2 yd pass from Brock Phoenix (C). (Jake Fencik kick),10,21
9,4,TD,13:44,Fuzzy Dotson 29 yd run. (Jake Fencik kick),10,28
10,4,TD,12:09,Jeremiah Zelos 37 yd interception return. (Jake Fencik kick),10,35
11,4,FG,10:07,46 yd FG by Karmichael Hunt,13,35
12,4,FG,5:07,41 yd FG by Jake Fencik,13,38
13,4,TD,0:33,Danny King 9 yd pass from Nick Kaepercolin. (Karmichael Hunt kick),20,38
