,Q,Score Type,Time Remaining,Play,BAL,OCO
1,1,TD,6:43,Django Anoa'i 22 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),0,7
2,1,FG,3:23,34 yd FG by Alex Frost,3,7
3,1,TD,0:00,Carlito Crush 31 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),3,14
5,2,FG,11:10,42 yd FG by Adam Anderson,3,17
6,2,FG,4:20,42 yd FG by Adam Anderson,3,20
8,3,TD,10:07,Declan Harp 6 yd pass from Childish Gambino. (Alex Frost kick),10,20
9,3,TD,6:43,Seer Zephyrous 3 yd run. (Adam Anderson kick),10,27
11,4,TD,14:14,Viggo Squanch 28 yd pass from Childish Gambino. (Alex Frost kick),17,27
12,4,TD,4:40,Vinny Valentine 12 yd pass from Childish Gambino. (Alex Frost kick),24,27
13,4,FG,0:16,34 yd FG by Adam Anderson,24,30
