Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Joestar, J.",OCO,1,5,0,0,6,25
"Johns, A.",OCO,0,0,7,0,6,25
"Mo, N.",OCO,0,0,5,1,6,25
"Pak, Y.",OCO,0,0,4,1,6,25
"Harrison, H.",OCO,0,0,3,1,6,25
"Iridian, G.",OCO,0,0,2,0,6,25
"Phillips, J.",OCO,0,0,2,0,6,25
"McZeal, K.",OCO,0,0,1,0,6,25
"Nakamura, T.",OCO,0,0,1,0,6,25
"Smith, J.",SAR,1,5,3,0,6,25
"Andrews, H.",SAR,1,10,0,0,6,25
"Pennington Jr., T.",SAR,0,0,6,0,6,25
"Stallworth, C.",SAR,0,0,6,0,6,25
"Doe, B.",SAR,0,0,3,0,6,25
"Woakneoa, S.",SAR,0,0,3,0,6,25
"Angler, J.",SAR,0,0,2,0,6,25
"Manclaw, C.",SAR,0,0,1,0,6,25
