,Q,Score Type,Time Remaining,Play,BAL,YKW
1,1,FG,10:44,46 yd FG by Neo Donaldson,0,3
2,1,FG,6:23,21 yd FG by ForThe Brand,3,3
3,1,FG,2:53,26 yd FG by Neo Donaldson,3,6
5,2,TD,13:13,Mathias Hanyadi 1 yd run. (Neo Donaldson kick),3,13
6,2,TD,7:19,Tommy Helanen 16 yd pass from Cooter Bigsby. (Neo Donaldson kick),3,20
7,2,FG,2:34,40 yd FG by ForThe Brand,6,20
9,3,TD,11:04,Rayne Gordon (R) 8 yd pass from Cooter Bigsby. (Neo Donaldson kick),6,27
10,3,FG,9:50,21 yd FG by ForThe Brand,9,27
11,3,TD,6:28,Errol Maddox 16 yd pass from Corvo Havran. (ForThe Brand kick),16,27
12,3,TD,3:33,Orien Drake 1 yd run. (Neo Donaldson XP no good),16,33
13,3,TD,1:12,Nate Swift 31 yd pass from Cooter Bigsby. (Neo Donaldson kick),16,40
15,4,TD,4:45,Brock Landers 31 yd pass from Corvo Havran. (ForThe Brand kick),23,40
16,4,TD,1:32,Mathias Hanyadi 1 yd run. (Neo Donaldson kick),23,47
