,Q,Score Type,Time Remaining,Play,PHI,YKW
1,1,TD,9:01,Glenn McPoyal 10 yd pass from Mat Akselsen. (None Forfeit kick),0,7
2,1,TD,6:32,Paul DiMirio 1 yd pass from Tyler Oles. (Stephen Harris kick),7,7
3,1,FG,3:05,21 yd FG by None Forfeit,7,10
4,1,TD,0:00,Mat Akselsen 66 yd run. (None Forfeit kick),7,17
6,2,TD,11:31,Damien Kroetch 1 yd run. (Stephen Harris kick),14,17
7,2,TD,3:07,Paul DiMirio 17 yd pass from Tyler Oles. (Stephen Harris kick),21,17
9,3,FG,10:39,22 yd FG by Stephen Harris,24,17
10,3,FG,7:46,40 yd FG by Stephen Harris,27,17
11,3,FG,6:30,37 yd FG by Stephen Harris,30,17
12,3,TD,3:38,Luke Tiernan 39 yd interception return. (None Forfeit kick),30,24
14,4,TD,5:07,Bailey Cook 9 yd pass from Mat Akselsen. (None Forfeit kick),30,31
15,4,FG,0:20,19 yd FG by Stephen Harris,33,31
