,Q,Score Type,Time Remaining,Play,ARI,YKW
1,1,FG,11:21,57 yd FG by Archibald Booter,0,3
2,1,FG,6:18,41 yd FG by Archibald Booter,0,6
3,1,FG,2:09,40 yd FG by Cristiano Ronaldo,3,6
5,2,TD,14:00,Reg Mackworthy 4 yd run. (Cristiano Ronaldo kick),10,6
6,2,TD,8:41,Dustin Evans 11 yd pass from King Bronko. (Cristiano Ronaldo kick),17,6
7,2,TD,3:30,Reg Mackworthy 1 yd run. (Cristiano Ronaldo kick),24,6
9,3,FG,9:47,48 yd FG by Archibald Booter,24,9
11,4,FG,14:03,26 yd FG by Archibald Booter,24,12
12,4,TD,8:39,Damian West 2 yd pass from Chris Orosz. (Archibald Booter kick),24,19
13,4,FG,0:00,23 yd FG by Cristiano Ronaldo,27,19
