Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Shelton, L.",YKW,2,14,0,0,13,2
"Cutter, D.",YKW,1,15,0,0,13,2
"Hampshireton, R.",YKW,1,15,0,0,13,2
"Novel, L.",YKW,1,5,0,0,13,2
"Akselsen, M.",YKW,0,0,4,0,13,2
"James, M.",YKW,0,0,3,1,13,2
"Jones, J.",YKW,0,0,3,0,13,2
"Kennedy, E.",YKW,0,0,3,0,13,2
"Smith, T.",YKW,0,0,3,0,13,2
"Floggity, J.",YKW,0,0,2,0,13,2
"Kamby, J.",YKW,0,0,1,0,13,2
"Maddox, R.",YKW,0,0,1,0,13,2
"Evans, D.",ARI,2,15,0,0,13,2
"Zoidberg, S.",ARI,1,15,4,1,13,2
"Tkachuk, J.",ARI,1,5,2,0,13,2
"Walters, S.",ARI,1,10,2,0,13,2
"Timlin, S.",ARI,1,10,0,1,13,2
"Asipi, A.",ARI,1,11,0,0,13,2
"Chess, C.",ARI,1,14,0,0,13,2
"King, G.",ARI,1,5,0,0,13,2
"Tuck, J.",ARI,1,10,0,0,13,2
"Worthy, G.",ARI,0,0,4,1,13,2
"Pest, T.",ARI,0,0,2,0,13,2
"Mackworthy, R.",ARI,0,0,1,0,13,2
"MacManus, C.",ARI,0,0,1,0,13,2
"Thomas, A.",ARI,0,0,1,0,13,2
