,Q,Score Type,Time Remaining,Play,COL,AZ
1,1,TD,10:08,Wolfie McDummy 10 yd run. (Silver Banana kick),7,0
2,1,TD,8:03,Ashley Owens 5 yd run. (Silver Banana kick),14,0
3,1,TD,1:25,Baby Yoda (R) 1 yd run. (J.J. Jay-Jaymison XP no good),14,6
5,2,TD,14:52,Ashley Owens 3 yd run. (Silver Banana kick),21,6
6,2,FG,9:23,37 yd FG by J.J. Jay-Jaymison,21,9
7,2,FG,5:41,18 yd FG by Silver Banana,24,9
9,3,TD,1:51,Jay Cue 12 yd run. (J.J. Jay-Jaymison kick),24,16
10,3,TD,0:00,Heath Evans (R) 34 yd pass from Jay Cue. (J.J. Jay-Jaymison kick),24,23
12,4,TD,11:38,Saba Donut 54 yd pass from Jay Cue. (2pt conversion failed),24,29
13,4,FG,7:51,30 yd FG by Silver Banana,27,29
