,Q,Score Type,Time Remaining,Play,BAL,SJS
1,1,TD,12:18,Mayran Jackson 42 yd pass from Chris Orosz. (Iyah Blewitt kick),0,7
2,1,TD,8:50,Alexandre LeClair 3 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,7
3,1,TD,3:47,Darren Smallwood 2 yd run. (Iyah Blewitt kick),7,14
5,2,FG,13:45,37 yd FG by Turk Turkleton,10,14
6,2,FG,7:43,27 yd FG by Turk Turkleton,13,14
7,2,FG,4:16,29 yd FG by Iyah Blewitt,13,17
8,2,TD,0:20,Trey Willie 6 yd pass from Avon Blocksdale. (Turk Turkleton kick),20,17
10,3,FG,9:55,25 yd FG by Iyah Blewitt,20,20
11,3,TD,4:04,Owen Taylor 4 yd pass from Avon Blocksdale. (Turk Turkleton kick),27,20
12,3,FG,1:24,52 yd FG by Turk Turkleton,30,20
14,4,TD,12:01,Darren Smallwood 9 yd pass from Chris Orosz. (Iyah Blewitt kick),30,27
15,4,TD,8:21,Owen Taylor 2 yd run. (Turk Turkleton kick),37,27
16,4,FG,5:29,55 yd FG by Iyah Blewitt,37,30
