,Q,Score Type,Time Remaining,Play,BAL,NO
1,1,TD,11:50,Felix Hasselhoff 4 yd pass from Borkus Maximus III. (Beat Meoff kick),0,7
2,1,FG,9:25,36 yd FG by Beat Meoff,0,10
3,1,FG,5:21,26 yd FG by Alex Frost,3,10
4,1,TD,1:41,Paul DiMirio 4 yd pass from Borkus Maximus III. (Beat Meoff kick),3,17
5,1,TD,0:27,Tyler Swift 2 yd run. (Beat Meoff kick),3,24
7,2,TD,10:12,Declan Harp 2 yd pass from Childish Gambino. (Alex Frost kick),10,24
8,2,FG,6:58,35 yd FG by Beat Meoff,10,27
9,2,FG,0:17,33 yd FG by Beat Meoff,10,30
11,3,TD,7:09,Aksel Danielsson 1 yd run. (Beat Meoff kick),10,37
12,3,FG,5:05,46 yd FG by Beat Meoff,10,40
14,4,TD,10:20,Declan Harp 1 yd pass from Childish Gambino. (Alex Frost kick),17,40
15,4,FG,4:58,41 yd FG by Beat Meoff,17,43
