,Q,Score Type,Time Remaining,Play,NO,AZ
1,1,TD,4:27,Budda Browning 27 yd pass from King Bronko. (Dean Jackson kick),0,7
3,2,FG,14:19,25 yd FG by Peg Leg,3,7
4,2,TD,9:25,Charlie Law 2 yd pass from King Bronko. (Dean Jackson kick),3,14
5,2,FG,3:04,21 yd FG by Dean Jackson,3,17
7,3,TD,12:49,Dustin Evans 51 yd pass from Borkus Maximus III. (Peg Leg kick),10,17
8,3,FG,10:10,32 yd FG by Peg Leg,13,17
9,3,FG,2:55,24 yd FG by Peg Leg,16,17
10,3,TD,0:39,Charlie Law 28 yd pass from King Bronko. (Dean Jackson kick),16,24
12,4,FG,11:19,23 yd FG by Peg Leg,19,24
13,4,TD,4:25,Charlie Law 7 yd pass from King Bronko. (Dean Jackson kick),19,31
