,Q,Score Type,Time Remaining,Play,BAL,NO
1,1,TD,11:49,Vinny Valentine 35 yd pass from Childish Gambino. (Alex Frost kick),7,0
2,1,TD,6:00,Marquise Brown 1 yd pass from Childish Gambino. (Alex Frost kick),14,0
3,1,FG,1:57,42 yd FG by Alfredo Crisco,14,3
4,1,TD,0:00,Errol Maddox 37 yd pass from Childish Gambino. (Alex Frost XP no good),20,3
6,2,TD,12:41,Vladimir Fyodorovich 35 yd pass from Borkus Maximus III. (Alfredo Crisco kick),20,10
7,2,TD,10:03,Marquise Brown 1 yd run. (Alex Frost kick),27,10
8,2,FG,0:25,18 yd FG by Alex Frost,30,10
10,3,TD,9:43,Stan Francisco 11 yd pass from Borkus Maximus III. (Alfredo Crisco kick),30,17
11,3,FG,0:04,44 yd FG by Alex Frost,33,17
13,4,TD,13:08,Howard Miller 6 yd pass from Childish Gambino. (Alex Frost kick),40,17
14,4,TD,8:26,Viggo Squanch 11 yd pass from Childish Gambino. (Alex Frost kick),47,17
15,4,TD,3:29,Tyler Swift 2 yd pass from Borkus Maximus III. (Alfredo Crisco kick),47,24
