Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Luechly, L.",ARI,1,5,0,0,8,4
"Bombadil, T.",ARI,0,0,10,0,8,4
"Pest, T.",ARI,0,0,7,0,8,4
"Law, C.",ARI,0,0,6,0,8,4
"Took, B.",ARI,0,0,6,0,8,4
"Pancake, P.",ARI,0,0,4,0,8,4
"Treebeard, N.",ARI,0,0,4,0,8,4
"Tuck, J.",ARI,0,0,3,0,8,4
"Mackworthy, R.",ARI,0,0,2,0,8,4
"Tweed, B.",COL,4,39,1,0,8,4
"Four, B.",COL,1,5,2,0,8,4
"Three, B.",COL,1,5,1,1,8,4
"Sphincter, A.",COL,1,5,1,0,8,4
"Hendrix, K.",COL,1,5,0,0,8,4
"Pierno, N.",COL,1,15,0,0,8,4
"Saint, J.",COL,1,5,0,0,8,4
"Skidmarks, S.",COL,1,15,0,0,8,4
"Wozy, F.",COL,1,15,0,0,8,4
"Two, B.",COL,0,0,5,1,8,4
"One, B.",COL,0,0,2,0,8,4
"Joyce, S.",COL,0,0,1,0,8,4
