,Q,Score Type,Time Remaining,Play,AZ,OCO
1,1,TD,8:29,Ricky Adams 2 yd run. (Adam Anderson kick),0,7
2,1,TD,7:38,Ricky Adams 1 yd run. (Adam Anderson kick),0,14
3,1,TD,6:17,Danny Grithead 25 yd interception return. (Adam Anderson XP no good),0,20
4,1,TD,0:22,Django Anoa'i 9 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),0,27
6,2,TD,11:59,Carlito Crush 9 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),0,34
7,2,TD,2:22,Ricky Adams 2 yd run. (Adam Anderson kick),0,41
9,3,TD,12:07,Ricky Adams 27 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),0,48
10,3,TD,3:48,Sam Hardwick 30 yd pass from Andrew Reese. (Dean Jackson kick),7,48
11,3,TD,0:00,Johnny Blaze 6 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),7,55
13,4,TD,14:19,Django Anoa'i 12 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),7,62
14,4,TD,6:54,Johnny Blaze 18 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),7,69
15,4,TD,2:09,Ricky Adams 1 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),7,76
