Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Adams, R.",OCO,7,100,14.3,34,2,12,14
"Sunnycursed, N.",OCO,6,106,17.7,44,0,12,14
"Blaze, J.",OCO,6,59,9.8,18,2,12,14
"Anoa'i, D.",OCO,6,57,9.5,16,2,12,14
"Crush, C.",OCO,5,96,19.2,38,1,12,14
"McPoyal, G.",OCO,4,32,8,12,0,12,14
"Zephyrous, S.",OCO,3,21,7,7,0,12,14
"Moore, S.",AZ,5,41,8.2,14,0,12,14
"Willie, T.",AZ,5,41,8.2,10,0,12,14
"Goomba, M.",AZ,4,12,3,4,0,12,14
"Hardwick, S.",AZ,3,43,14.3,30,1,12,14
"Hasselhoff, F.",AZ,1,11,11,11,0,12,14
"Rudd, E.",AZ,1,4,4,4,0,12,14
"Shady, S.",AZ,1,1,1,1,0,12,14
