,Q,Score Type,Time Remaining,Play,AZ,NO
1,1,TD,11:48,Jeffrey Murphy 1 yd run. (Spencer Lawes kick),7,0
3,2,TD,9:09,Brock Landers 30 yd pass from Andrew Reese. (Spencer Lawes kick),14,0
4,2,TD,6:32,Tyler Swift 9 yd run. (Alex Frost kick),14,7
5,2,TD,0:09,Bona'beri Jones 19 yd pass from Stan Francisco. (Alex Frost kick),14,14
7,3,TD,9:46,Tyler Swift 3 yd run. (Alex Frost kick),14,21
8,3,TD,6:25,Slim Shady 11 yd pass from Andrew Reese. (Spencer Lawes kick),21,21
9,3,TD,2:36,Tyler Swift 2 yd run. (Alex Frost kick),21,28
10,3,TD,0:51,Tyler Swift 1 yd run. (Alex Frost kick),21,35
12,4,TD,11:03,Forrest Gump (R) 5 yd run. (Alex Frost kick),21,42
13,4,FG,5:48,37 yd FG by Spencer Lawes,24,42
