,Q,Score Type,Time Remaining,Play,AUS,AZ
1,1,TD,7:47,Jacoby Clay (R) 9 yd pass from Easton Cole. (Alfredo Crisco XP no good),6,0
2,1,FG,4:01,28 yd FG by J.J. Jay-Jaymison (R),6,3
4,2,TD,12:52,Mako Mendonca 8 yd pass from Easton Cole. (Alfredo Crisco kick),13,3
5,2,FG,9:43,40 yd FG by Alfredo Crisco,16,3
6,2,TD,2:02,Mako Mendonca 3 yd run. (Alfredo Crisco kick),23,3
8,3,FG,10:48,27 yd FG by J.J. Jay-Jaymison (R),23,6
9,3,TD,6:01,Jah Bur'Berry 8 yd pass from Jay Cue. (J.J. Jay-Jaymison (R) kick),23,13
10,3,TD,1:01,Willie B. Hardagain 11 yd pass from Jay Cue. (J.J. Jay-Jaymison (R) kick),23,20
12,4,TD,10:07,Mako Mendonca 8 yd pass from Easton Cole. (Alfredo Crisco kick),30,20
13,4,TD,5:00,Jah Bur'Berry 7 yd pass from Jay Cue. (J.J. Jay-Jaymison (R) kick),30,27
