Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Ones, B.",YKW,1,5,4,0,12,15
"Marshall, M.",YKW,1,11,2,0,12,15
"Foster, W.",YKW,1,5,0,0,12,15
"Knurtsson, K.",YKW,1,5,0,0,12,15
"Amper, T.",YKW,0,0,3,0,12,15
"Canton, J.",YKW,0,0,2,1,12,15
"Mushing, M.",YKW,0,0,2,1,12,15
"Pooky, S.",YKW,0,0,2,0,12,15
"Rchon, A.",YKW,0,0,1,1,12,15
"Wizardry, D.",YKW,0,0,1,0,12,15
"Rice, J.",OCO,1,5,0,0,12,15
"Salami, T.",OCO,1,5,0,0,12,15
"Spector, M.",OCO,1,5,0,0,12,15
"Boult, T.",OCO,0,0,6,0,12,15
"Stennet, J.",OCO,0,0,6,0,12,15
"Zephyrous, S.",OCO,0,0,3,0,12,15
"Dong, J.",OCO,0,0,2,0,12,15
"Thompson, P.",OCO,0,0,2,0,12,15
"Blaze, J.",OCO,0,0,1,0,12,15
"Johns, A.",OCO,0,0,0,1,12,15
