,Q,Score Type,Time Remaining,Play,AZ,NO
1,1,FG,8:23,44 yd FG by Alex Frost,0,3
2,1,FG,5:06,37 yd FG by Spencer Lawes,3,3
4,2,TD,9:47,Vinny Valentine 59 yd punt return. (Spencer Lawes kick),10,3
5,2,TD,5:28,Slim Shady 3 yd run. (Spencer Lawes kick),17,3
6,2,FG,1:19,30 yd FG by Alex Frost,17,6
7,2,FG,0:00,53 yd FG by Spencer Lawes,20,6
9,3,TD,11:47,Tyler Swift 2 yd run. (Alex Frost kick),20,13
10,3,TD,7:44,Forrest Gump 1 yd run. (Alex Frost kick),20,20
11,3,TD,0:26,Slim Shady 2 yd run. (Spencer Lawes kick),27,20
13,4,TD,10:27,Tyler Swift 23 yd pass from Stan Francisco. (Alex Frost kick),27,27
14,4,TD,8:33,Tyler Swift 1 yd run. (Alex Frost kick),27,34
