,Q,Score Type,Time Remaining,Play,NO,SJS
1,1,FG,9:39,35 yd FG by Lefty Louis,3,0
2,1,FG,5:36,45 yd FG by Lefty Louis,6,0
3,1,TD,1:42,Jamar Lackson 3 yd run. (Matthew McDairmid (C) kick),6,7
5,2,FG,14:33,35 yd FG by Lefty Louis,9,7
6,2,TD,10:26,Tychondrius Hood 26 yd pass from Monterey Jack. (Matthew McDairmid (C) kick),9,14
7,2,FG,1:42,26 yd FG by Matthew McDairmid (C),9,17
9,3,FG,11:30,36 yd FG by Matthew McDairmid (C),9,20
10,3,FG,2:43,34 yd FG by Lefty Louis,12,20
11,3,TD,0:00,Deondre Thomas-Fox 30 yd pass from Monterey Jack. (Matthew McDairmid (C) kick),12,27
13,4,TD,7:20,Brock Bodenhamer (R) 8 yd pass from Ben Slothlisberger. (Lefty Louis kick),19,27
14,4,FG,2:24,27 yd FG by Matthew McDairmid (C),19,30
